,Wine,Description,Vintage,Price,Score,Model Rating
13,Clos des Papes Châteauneuf-du-Pape-,"This offers a drop-dead gorgeous core of cassis and raspberry pâte de fruit flavors that hold center stage but still allow notes of Lapsang souchong tea, anise, incense and shiso leaf to chime in. Very long, with a sublime feel through the mineral-tinged finish. So seductive already, but this should cruise in the cellar. Drink now through 2040. 6,000 cases made. —JM",2015,$109 ,98.0,3
14,Domaine des Baumard Savennières-,"Alluring, with quince, creamed pear, verbena and green almond flavors allied to a creamy texture, all offset beautifully through the finish by light quinine and mineral hints. Approachable, but this seems built for the cellar. Best from 2018 through 2030. 1,500 cases imported. —JM",2015,$30 ,94.0,3
15,Turley Zinfandel Paso Robles Ueberroth Vineyard-,"An impressive combo of refinement and torque. This features ripe, rich fruit backed by great minerality and structure, with notes of raspberry and blackberry plus licorice, sage and pepper. Drink now through 2028. 1,380 cases made. —TF",2014,$48 ,95.0,3
16,Volver Alicante Tarima Hill Old Vines-,"This red shows grace and depth. Black cherry, plum, mineral and smoke flavors mingle harmoniously over well-integrated tannins, while lively acidity keeps this focused. Not showy, but all the pieces fit together. Balanced, in the modern style. Drink now through 2025. 10,000 cases made. —TM",2015,$17 ,92.0,3
17,Bodega Colomé Malbec Salta-,"Refined and rich-tasting, with effusive minerality to the red berry and cherry flavors, lathered with plenty of creamy accents. Pepper and cigar box notes show on the long and complex finish. Drink now through 2022. 27,300 cases made. —KM",2015,$25 ,92.0,3
18,Marqués de Cáceres Rioja Reserva-,"Black cherry, currant and floral notes are expressive and alluring, balanced by loamy earth, tobacco and mineral elements that add a savory quality. Firm, well-integrated tannins give support to the polished texture, while orange peel acidity fuels the fresh finish. Drink now through 2027. 10,000 cases imported. —TM",2012,$31 ,93.0,3
19,San Felice Brunello di Montalcino Campogiovanni-,"In a traditional style, featuring beefy tannins and savory earth notes, with a core of leather and cherry flavors. Shows some sweetness midpalate and picks up energy on the long finish. Hangs together, ending in an uplifting, resonant manner. Best from 2021 through 2036. 5,833 cases made. —BS",2012,$60 ,96.0,3
20,Hartford Family Zinfandel Russian River Valley Old Vine-,"This is what Russian River Zinfandel is all about. Rich, dynamic and layered, with complex fruit, offering notes of jammy black raspberry, stony mineral, herbes de Provence and licorice. The finish unfurls at length. Drink now through 2026. 1,700 cases made. —TF",2015,$38 ,94.0,3
21,Saxum James Berry Vineyard Paso Robles Willow Creek District-,"A dramatic wine that weds power and opulence, maintaining impeccable balance along the way. Brooding dark berry and loamy mineral aromas lead to rich flavors of currant, licorice, dried sage and smoky pepper. Ripe tannins frame the finish. Grenache, Mourvèdre, Syrah, Counoise and Roussanne. Best from 2018 through 2028. 1,400 cases made. —TF",2014,$98 ,97.0,3
22,Mazzei Maremma Toscana Tenuta Belguardo-,"A red of great purity and polish, offering black cherry, blackberry, spice and herb flavors, this evokes tobacco, graphite and leather nuances as it builds nicely on the palate. Finishes with grip, harmony and complexity, as well as terrific length. Cabernet Sauvignon and Cabernet Franc. Drink now through 2028. 1,083 cases made. —BS",2013,$55 ,95.0,3
23,Justin Justification Paso Robles-,"Smooth-textured, graceful and refined, with a tenderness to the texture and tannins. Features a warm, inviting mix of red and dark berry flavors and subtle shades of licorice, light mocha and savory herbs, revealing floral scents and a long, persistent finish that echoes the core essence. Cabernet Franc and Merlot. Drink now through 2035. 11,000 cases made. —JL",2014,$50 ,94.0,3
24,Roederer Estate Brut Anderson Valley-,"A voluptuous and expressive sparkler, with floral red apple, brioche and cinnamon spice aromas and rich, vibrant flavors that finish on a luxurious note. Drink now through 2018. 80,000 cases made. —TF",NV,$24 ,92.0,3
25,Tablas Creek Patelin de Tablas Blanc Paso Robles-,"This vibrant and mouthwatering white shows green apple, Meyer lemon and dried pineapple flavors that are fresh and juicy. Lemon verbena and lime sherbet notes reverberate on the long, detailed finish. Grenache Blanc, Viognier, Roussanne and Marsanne. Drink now. 2,920 cases made. —MW",2015,$25 ,93.0,3
26,Bodegas Alto Moncayo Garnacha Campo de Borja Veraton-,"Expressive flavors of cherry, raspberry and dark chocolate mingle in this polished red, balanced by notes of licorice and wild herbs. The tannins are well-integrated, and balsamic acidity keeps this balanced. Dense and harmonious, in the modern style. Drink now through 2022. 3,000 cases made. —TM",2014,$30 ,92.0,3
27,Kendall-Jackson Chardonnay California Vintner's Reserve-,"Plush, with loads of richness to the well-honed flavors of beeswax, baked pear and lemon tart. Minerally midpalate, with a fresh and zesty finish that finishes with pastry notes. Drink now through 2020. 100,000 cases made. —KM",2015,$17 ,91.0,3
28,Viña Santa Ema Cabernet Sauvignon Maipo Valley Reserva-,"Dark plum and dried red berry flavors dominate this muscular red, with plenty of minty and savory accents. Medium-grained tannins support chocolate and cream details on the finish. Drink now through 2021. 25,000 cases made. —KM",2015,$15 ,91.0,3
29,Hijos de Rainera Perez Marin Manzanilla Sanlúcar de Barrameda La Guita-,"Distinctive, with verbena and tarragon notes leading the way, followed by lemon pith and jicama flavors. Flashes of gooseberry and talc run through the finish. Bottled June 2016. Drink now. 200,000 cases made. —JM",NV,$15 ,91.0,2
30,Forge Riesling Finger Lakes Classique-,"Weighty for a Riesling, with a rounded feel and layers of creamed yellow apple, white peach and persimmon flavors. Delivers energy and cut throughout, with lemon pith, citrus oil and chamomile accents filling in. Shows length and range through the finish. Drink now through 2021. 1,800 cases made. —JM",2015,$19 ,92.0,3
31,Sidebar Sauvignon Blanc High Valley-,"Focused and precise, with detailed lemon meringue, orange blossom and lime zest flavors that are intense, fragrant and harmonious on the long, crisp finish. Drink now. 2,198 cases made. —MW",2015,$20 ,91.0,3
32,Jim Barry Riesling Clare Valley The Lodge Hill Dry-,"A taut and linear white, with a lip-smacking blend of peach, lime and green apple flavors, finishing on a refreshing note. Drink now. 3,000 cases imported. —MW",2016,$20 ,91.0,2
33,Finca Decero Malbec Agrelo Remolinos Vineyard-,"An elegant style, with a core of vibrant cherry, plum and currant flavors that are supported by fresh acidity. This is supple midpalate, with a finish that lingers with dried ginger and white pepper details. Drink now through 2022. 18,000 cases imported. —KM",2015,$22 ,91.0,3
34,Pazo de Señorans Albariño Rias Baixas-,"This big white is round and polished, with good weight and solid acidity behind the pear, blanched almond and white tea flavors. Ginger and briny notes give this a savory character. A muscular style. Drink now through 2022. 3,000 cases imported. —TM",2016,$21 ,91.0,3
35,Tait The Ball Buster Barossa Valley-,"Bold, with dense notes of dark chocolate-covered coffee bean, plum paste, wild blackberry, cigar box and date bread. Expressive and generous. The velvety tannins linger. Shiraz, Cabernet Sauvignon and Merlot. Drink now through 2027. 8,500 cases made. —MW",2014,$23 ,91.0,3
36,Karine Lauverjat Sancerre-,"Crunchy, with lots of gooseberry and thyme notes bouncing around, while flint and fleur de sel accents drive the mouthwatering finish. Drink now through 2020. 3,125 cases imported. —JM",2016,$23 ,91.0,2
37,Luigi Einaudi Dogliani-,"A beam of bracing acidity at the core of this intense, saturated red helps delineate the blackberry, boysenberry, blueberry and graphite flavors. This has grip and complexity, but just needs a little time. Best from 2018 through 2024. 9,000 cases made. —BS",2015,$16 ,92.0,3
38,Spring Valley Frederick Walla Walla Valley-,"Refined and impeccably structured, with floral black cherry and dusty dried spice aromas, and complex plum, olive and mocha flavors that glide toward polished tannins. Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot and Malbec. Drink now through 2023. 2,966 cases made. —TF",2014,$50 ,94.0,3
39,Matua Sauvignon Blanc Marlborough-,"Succulent, fleshy peach and nectarine flavors are accented by Key lime, mango and ruby grapefruit notes. Shows nice intensity on the long, expressive finish. Drink now. 589,000 cases made. —MW",2016,$12 ,90.0,3
40,Bodega Garzón Tannat Uruguay Reserva-,"Well-sculpted, with dense, rich flavors of dark plum, dried blackberry and dark currant that are supported by firm tannins. Christmas pudding and rich savory notes show on the finish. Drink now through 2022. 12,000 cases made. —KM",2015,$17 ,90.0,3
41,Colene Clemens Pinot Noir Chehalem Mountains Dopp Creek-,"Firm and focused, with cinnamon notes floating around red berry and floral flavors, finishing with gentle persistence against lively acidity and fine tannins. Best from 2018 through 2022. 3,100 cases made. —HS",2014,$26 ,91.0,3
42,J.-A. Ferret Pouilly-Fuissé-,"A sleek, stony version, this white exhibits lime blossom, apple, mineral and subtle spice flavors. Energetic, resonating on the long, citrus- and mineral-infused aftertaste. Drink now through 2024. 4,500 cases made. —BS",2015,$35 ,92.0,3
43,Domaine St.-Préfert Châteauneuf-du-Pape Auguste Favier Réserve-,"Vibrant and captivating, with exuberant fruitcake, cinnamon and black tea aromas leading the way for a fleshy core of raspberry pâte de fruit, plum sauce and cassis, all allied to a lovely velvety texture. Maintains intensity through the finish, showing a long echo of pastis. Best from 2020 through 2040. 1,300 cases made. —JM",2015,$55 ,97.0,3
44,Kaiken Malbec Mendoza Ultra Las Rocas-,"Dense and rich-tasting, with a muscular mix of dark currant and black olive flavors that are supported by firm tannins. Cocoa powder and slate notes fill the finish, along with peppery hints. Drink now through 2022. 10,000 cases made. —KM",2015,$20 ,90.0,3
45,Il Poggione Rosso di Montalcino-,"Bright, delicate and vibrant, with berry and floral flavors. Accents of earth, tobacco and spice add interest as they linger on the finish. Well-rounded and long. Drink now through 2023. 16,666 cases made. —BS",2015,$27 ,91.0,3
46,Bodegas Palacios Remondo Rioja La Vendimia-,"This red shows good density, with black cherry, plum, espresso and black olive flavors mingling over firm tannins and balsamic acidity. Stays balanced and focused through the smoky finish. Drink now through 2027. 3,552 cases imported. —TM",2015,$17 ,90.0,3
47,Penley Cabernet Sauvignon Coonawarra Phoenix-,"Dense tannins and flavors are packed into this wine, with briny Kalamata olive and black licorice nuances to the core of plum, cassis, sage, tobacco and cedar flavors, which fan out on the finish. Drink now through 2030. 4,300 cases imported. —MW",2015,$20 ,90.0,3
48,Rust en Vrede Syrah Stellenbosch-,"This is well-rendered, with a core of bramble-edged boysenberry, blackberry and raspberry fruit laced with mouthwatering savory and anise notes. Shows judicious toast through the finish, as roasted apple wood details dance through, letting the fruit win out in the end. Drink now through 2024. 3,540 cases made. —JM",2014,$29 ,92.0,3
49,Quinta das Carvalhas Touriga Nacional Douro-,"Supple but tightly knit, this focused red offers blackberry and currant fruit woven together with black olive, anise and grilled herb accents. Black tea and mineral notes chime in on the firm finish. Drink now through 2022. 7,500 cases made. —GS",2014,$22 ,90.0,3
50,Bodegas y Viñedos Raúl Pérez Mencía Bierzo Ultreia St.-Jacques-,"Smoke, forest floor and mineral notes mingle in this savory red. Lively acidity and light, firm tannins give grip to the polished texture. Cherry and floral accents sing through the finish. Energetic. Drink now through 2023. 1,200 cases imported. —TM",2015,$20 ,91.0,3
51,Domaine de Mourchon Côtes du Rhône-Villages Séguret Tradition-,"A good bolt of graphite drives underneath while lightly mulled plum and blackberry fruit form the core. Singed mesquite and tobacco fill in on the finish. Grenache, Syrah and Carignan. Drink now through 2020. 3,500 cases made. —JM",2014,$20 ,90.0,3
52,PlumpJack Syrah Napa Valley-,"Polished and impeccably structured, with blackberry and smoky meat aromas and layered, rich flavors of licorice and espresso that linger toward big but firm tannins. Drink now through 2027. 1,124 cases made. —TF",2014,$60 ,94.0,3
53,Innocent Bystander Pinot Noir Yarra Valley-,"Plush and elegant, with raspberry, cherry and fresh sage notes that are harmonious, juicy and intense on the finish. Drink now through 2027. 1,900 cases imported. —MW",2016,$20 ,90.0,3
54,Trimbach Pinot Gris Alsace Réserve Personnelle-,"A mouthwatering Pinot Gris, with exotic notes of papaya and grated coconut accenting the peach, anise and almond blossom flavors. Sleek acidity focuses this through to the spicy, mineral-tinged finish. Drink now through 2029. 1,500 cases imported. —AN",2015,$38 ,92.0,3
55,Domaines Dominique Piron Morgon La Chanaise-,"This ripe, light- to medium-bodied red sports layers of pure blackberry, cassis and damson plum, edged with licorice, floral and apricot details. Tangy, mouthwatering acidity highlights the mineral and spice details on the long, lightly grippy finish. Drink now through 2020. 13,000 cases made. —GS",2015,$20 ,91.0,3
56,Mason Sauvignon Blanc Napa Valley Yount Mill Vineyard-,"Clean, smooth and crisp, offering a lip-smacking mix of pear, melon and Key lime flavors, with plenty of intensity on the finish. Drink now. 4,900 cases made. —MW",2016,$19 ,90.0,3
57,Domaine de Beaurenard Châteauneuf-du-Pape-,"A beautiful wine, with dark fig, warm boysenberry reduction and alluring creamed raspberry flavors streaming forth, accented by graphite, black tea and pastis. There's a healthy dose of singed apple wood through the finish, but it's well-embedded as everything pulls together. Best from 2020 through 2040. 5,500 cases made. —JM",2015,$55 ,94.0,3
58,Bodegas Emilio Moro Tempranillo Ribera del Duero-,"Black cherry, red plum and currant flavors are fresh and lively in this firm red, backed by dark chocolate, licorice and toasty notes. Light, firm tannins and citrusy acidity keep this focused. Drink now through 2023. 58,333 cases made. —TM",2015,$24 ,90.0,3
59,Casa Santos Lima Lisboa Colossal Reserva-,"Plum and boysenberry notes weave together with dried herb and smoky mineral accents in this sleek red. Savory spice details chime in on the finish. Offers moderate, grippy tannins. Drink now through 2020. 55,000 cases made. —GS",2015,$25 ,90.0,3
60,Cantina del Pino Barbaresco Ovello-,"This pretty red offers delicate flavors and subtle power, evoking flowers, red berry, mineral, tobacco and tar on the nose and palate. Firmly structured, this remains harmonious and long on the mineral- and tobacco-tinged finish. Best from 2020 through 2036. 500 cases made. —BS",2013,$62 ,97.0,3
61,Clos Fourtet St.-Emilion-,"A sleek, lean cat, with distilled currant and raspberry fruit that races from start to finish, maintaining tension throughout thanks to a riveting chalky spine. A light floral hint hangs in the background. Should develop into a perfumy beauty with time. Best from 2022 through 2035. 3,167 cases made. —JM",2014,$74 ,95.0,3
62,Purple Hands Pinot Noir Dundee Hills Latchkey Vineyard-,"Silky and harmonious, with an elegantly precise structure and black cherry, fresh violet and spice notes that glide expressively toward the long finish. Drink now through 2022. 600 cases made. —TF",2015,$50 ,94.0,3
63,Jean-Luc Colombo Cornas Terres Brûlées-,"Plush in feel, with layers of dark fig, blueberry and blackberry reduction leading the way, inlaid with light charcoal and bay leaf accents that emerge steadily through the finish. Ends with a tug of tar. Best from 2020 through 2035. 1,300 cases made. —JM",2015,$58 ,94.0,3
64,Greywacke Pinot Noir Marlborough-,"Detailed, with notes of dried lavender, white pepper, fresh loamy earth and black tea set against a core of strawberry and raspberry flavors. Smooth and plush, this becomes even more expressive on the finish, where spice details fan out. Drink now through 2025. 750 cases imported. —MW",2014,$39 ,93.0,3
65,Scacciadiavoli Montefalco Sagrantino-,"This finely balanced Sagrantino layers creamy tannins with a pretty array of raspberry ganache, fig cake and dried sage flavors, accented by aromatic hints of rose petal and spice. Elegant and lightly juicy, with a subtle mineral streak that gains momentum on the finish. Drink now through 2027. 4,000 cases made. —AN",2011,$40 ,92.0,3
66,The Calling Chardonnay Russian River Valley Dutton Ranch-,"Ultrarich and extracted, offering a firm core of pear, apple, melon and spice flavors. A truly impressive effort, with depth and dimension. Drink now through 2022. 7,000 cases made. —JL",2015,$32 ,91.0,3
67,Gorman Zachary's Ladder Red Mountain-,"Rich yet densely structured, with expressive black cherry and blueberry fruit, accented by smoky licorice and finishing with big but refined tannins. Cabernet Sauvignon, Syrah and Petit Verdot. Best from 2019 through 2025. 600 cases made. —TF",2014,$30 ,92.0,3
68,Gini Soave Classico-,"A lithe, light-bodied white, with racy acidity and a subtle streak of mineral, layered with nectarine, melon and pink grapefruit pith flavors. This is well-knit, with a lingering, lightly spiced finish. Drink now through 2020. 9,000 cases made. —AN",2016,$21 ,90.0,3
69,Lingua Franca Pinot Noir Eola-Amity Hills Tongue 'N Cheek-,"Lithe and delicately complex, offering rose petal and tart blueberry aromas, with effortlessly balanced raspberry, river rock and spice flavors that finish with refined tannins. Drink now through 2022. 594 cases made. —TF",2015,$60 ,94.0,3
70,Donnachiara Aglianico Irpinia-,"This is elegant and well-meshed, with fine tannins and a fragrant skein of ground spice layered with flavors of baked black currant, herbes de Provence, smoke and fig cake. The fresh finish is chewy and lingering. Drink now through 2022. 2,083 cases made. —AN",2015,$18 ,90.0,3
71,Domaine Petroni Corse-,"Lightly rustic, with bramble and dried anise notes weaving throughout. The core of violet plum sauce and raspberry coulis is pure and vibrant, extending through a lengthy finish. A fun, character-filled wine. Niellucciu, Syrah and Grenache. Drink now through 2019. 6,500 cases made. —JM",2015,$20 ,90.0,3
72,Powell & Son Riverside Barossa-,"A supple, seamless mix of cherry and raspberry flavors, with dried violet, savory and smoky details, accented by hints of sarsaparilla. Polished and refined, especially on the effortless finish. Grenache, Mataro and Shiraz. Drink now through 2030. 2,000 cases made. —MW",2015,$20 ,93.0,3
73,Domaine de la Solitude Châteauneuf-du-Pape White-,"This is dreamy, with creamed melon, pear and green fig flavors gliding along, framed by light brioche and meringue notes. The long finish lets the fruit hang beautifully. Offers refined opulence. Drink now through 2022. 800 cases made. —JM",2016,$50 ,95.0,3
74,Résonance Pinot Noir Willamette Valley-,"Supple and elegantly structured, with expressive raspberry and orange zest aromas and polished flavors that pick up depth and momentum toward a spicy finish framed by refined tannins. Drink now through 2023. 4,000 cases made. —TF",2015,$45 ,93.0,3
75,Louis Chèze Condrieu Pagus Luminis-,"This has power, with a large core of creamed peach, nectarine and yellow apple fruit. Lengthy, pure and vibrant, with a mineral streak running underneath and chamomile and honeysuckle notes gilding the finish. Dreamy wine. Drink now through 2022. 1,200 cases made. —JM",2015,$69 ,96.0,3
76,Oberon Merlot Napa Valley-,"A robust style, with inky notes to the dark currant, dried sage and fig flavors that glide across the palate. The sanguine finish is richly spiced. Drink now through 2020. 4,000 cases made. —KM",2015,$23 ,90.0,3
77,Prager Riesling Federspiel Trocken Wachau Steinriegl-,"A fruity style, boasting apricot, ripe apple, white pepper, mineral and floral notes, this is harmonious and fresh, leaving a sapid, mineral aftertaste. Drink now. 2,083 cases made. —BS",2015,$35 ,92.0,3
78,Alban Syrah Edna Valley Reva Alban Estate-,"Refined yet dynamic, with a structured and balanced core of acidity and tannins framed by formidable black raspberry, smoky meat, licorice and orange zest flavors that build momentum toward polished tannins. Drink now through 2026. 2,000 cases made. —TF",2013,$98 ,94.0,3
79,Michele Castellani Valpolicella Classico Superiore San Michele Ripasso-,"This mouthwatering red is medium-bodied and expressive, offering lightly chewy tannins and flavors of sun-dried cherry, strawberry preserves and star anise, with pleasing hints of herb and mineral on the finish. Drink now through 2022. 5,000 cases made. —AN",2015,$28 ,90.0,3
80,Dutton-Goldfield Pinot Noir Russian River Valley Dutton Ranch-,"Well-centered on a mix of cherry, plum and raspberry flavors, elegant and refined, with sufficient tannins to hold attention. Ends with a clean, mouthwatering aftertaste that echoes the fruit and spice notes. Drink now through 2024. 5,880 cases made. —JL",2015,$44 ,92.0,3
81,Pali Wine Co. Pinot Noir Sonoma Coast Riviera-,"Juicy and generous, featuring a rich, smooth core of plum and raspberry flavors, highlighted by zesty floral scents that accentuate the aroma and fruitiness. Agreeably supple, with easygoing tannins. Drink now through 2022. 3,200 cases made. —JL",2015,$22 ,90.0,3
82,Domaine Faiveley Mercurey Clos des Myglands-,"Ripe and pure, featuring cherry, blackberry, raspberry, mineral and light toast notes. Balanced and intense, playing out on the long, mouthwatering finish. Best from 2019 through 2032. 1,400 cases imported. —BS",2015,$53 ,93.0,3
83,Simone Santini Vernaccia di San Gimignano Tenuta Le Calcinaie-,"A bright, juicy version, boasting floral, peach, grapefruit and honey aromas and flavors. Pure and elegant, finishing with a characteristic hint of bitterness. Drink now. 2,350 cases made. —BS",2015,$18 ,90.0,3
84,Josep Maria Raventós i Blanc Brut Nature Vino Espumoso de la Finca-,"A minerally version, with up-front petrol and spice notes lacing the poached cherry, salted almond and lemon peel flavors that ride the delicate mousse. Elegant and harmonious. Disgorged February 2017. Drink now through 2020. 4,100 cases made. —AN",2013,$33 ,90.0,3
85,Lancaster Cabernet Sauvignon Alexander Valley-,"A big, rich Cabernet, with firm, structured tannins that are powerful and edgy, framing the core of blackberry, black cherry, plum and espresso flavors. An impressive effort. Best from 2019 through 2029. 4,075 cases made. —JL",2014,$75 ,94.0,3
86,Chartogne-Taillet Brut Champagne Cuvée Ste.-Anne-,"A bright, finely meshed version that shows beautiful harmony throughout, offering flavors of Gala apple, spring forest, almond pastry and lemon curd riding the creamy mousse. Lasting, spiced finish. Disgorged February 2016. Drink now through 2022. 1,300 cases imported. —AN",NV,$50 ,92.0,3
87,Fonseca Vintage Port Guimaraens-,"This is warm and lush in feel, and really well-built, with layers of blueberry, açaí berry and plum reduction flavors rolling through, laced with hints of ganache and fruitcake. Lots of graphite-edged grip lines the finish. Best from 2027 through 2040. 4,500 cases made. —JM",2015,$58 ,93.0,3
88,Daou Cabernet Sauvignon Adelaida District Estate-,"Combines rich, deep flavors with a measure of finesse and refinement, allowing the earth-laced red berry and spicy herb notes to shine. Ripe, sturdy tannins lend this structure and traction. Best from 2020 through 2034. 1,000 cases made. —JL",2014,$85 ,94.0,3
89,Concha y Toro Cabernet Sauvignon Puente Alto Don Melchor-,"A ripe, rich and full-bodied red, with powerful flavors of dark cherry, plum pudding and currant that feature a lush creaminess. Firm and savory midpalate, ending with a long and refined finish that shows mineral and cocoa butter accents, supported by dusty tannins. Drink now through 2024. 7,850 cases made. —KM",2014,$120 ,96.0,3
90,Château Léoville Las Cases St.-Julien-,"Densely packed, with cassis, steeped plum and blackberry coulis notes that are compressed with layers of cold charcoal and graphite. Very pure, giving this a long, sleek and racy feel, while an iron underpinning drives the finish. Best from 2020 through 2040. 12,500 cases made. —JM",2014,$135 ,95.0,3
91,Garofoli Verdicchio dei Castelli di Jesi Podium-,"An elegant, creamy white, backed by sleek, citrusy acidity, this shows a subtle mix of poached pear, grated ginger and stony mineral flavors, accented by hints of crushed almond. Drink now through 2020. 3,500 cases made. —AN",2014,$25 ,90.0,3
92,Revana Cabernet Sauvignon Napa Valley-,"This is a thrilling wine, from the opening vanilla bean scents to the pure, rich and deep core of blackberry, currant and black licorice flavors. Folds in espresso and cedar notes amid the long and persistent finish. Best from 2019 through 2038. 1,500 cases made. —JL",2014,$165 ,96.0,3
93,di Meo Greco di Tufo G-,"Tarragon and thyme notes lace flavors of green melon and lime granita in this juicy, light- to medium-bodied white. Fresh, balanced and minerally, with a spiced finish. Drink now through 2020. 5,500 cases made. —AN",2016,$27 ,90.0,3
94,Selbach-Oster Riesling Kabinett Halbtrocken Mosel Zeltinger Himmelreich-,"Pungent, with aromas of slate and ripe orchard fruit, this sleek white displays complex flavors of flowers, peach, quince and slate. A hint of chive works into the mix as this remains persistent on the finish. Drink now through 2024. 140 cases imported. —BS",2015,$20 ,93.0,3
95,Feudi del Pisciotto Nero d'Avola Terre Siciliane Versace-,"A well-focused, rich red in a balanced, medium-bodied frame, this offers a subtle underpinning of tarry mineral notes layered over light, sculpted tannins and flavors of mulberry and dried fig, with hints of herbes de Provence and mocha. Drink now through 2025. 1,166 cases made. —AN",2015,$33 ,91.0,3
96,Odoardi Calabria GB-,"Finely balanced and creamy, this bold red offers a rich range of black cherry coulis, fig cake, dried marjoram and oak spice flavors, layered with sculpted tannins. Long on the palate, with a lasting spicy mineral note. Gaglioppo, Magliocco Canino, Nerello Cappuccio and Greco Nero. Drink now through 2027. 3,500 cases made. —AN",2014,$45 ,92.0,3
97,Prats & Symington Douro Chryseia-,"A powerful and concentrated red, featuring kirsch, red plum and baker's chocolate notes, balanced by tarragon, slate and violet details. Elegant, with supple tannins framing the long finish, which is laced with hot stone, olive and licorice accents. Drink now through 2023. 2,000 cases made. —GS",2014,$75 ,94.0,3
98,Robert Weil Riesling Qualitätswein Trocken Rheingau Kiedricher Gräfenberg GG-,"Very rich and complex, with enveloping flavors of baked apple, ripe citrus, nectarine and dried pear supported by a powerful structure. Lush midpalate, with a notes of dried guava, followed by unctuous spiciness on the finish, with accents of white chocolate, chamomile and dried herbs. Best from 2018 through 2026. 2,500 cases made. —KM",2015,$92 ,95.0,3
99,Sadie Family 'T Voetpad Swartland-,"Dried lemon peel, fennel seed and honeysuckle notes give this a high-pitched entry, but the core offers up Jonagold apple and melon fruit while the finish pulls in fresh salted butter and verbena details, imparting remarkable range and length. Chenin Blanc, Sémillon, Palomino and Muscat. Drink now through 2024. 280 cases made. —JM",2015,$67 ,95.0,3
