,Wine,Description,Vintage,Price,Score,Model Rating
21,Vik Milla Cala Cachapoal Valley-,"Rich and refined, delivering unctuous dark fruit and spice flavors that offer a creamy svelteness. Slate and mineral accents linger on the complex finish, with dark chocolate and olive notes. Cabernet Sauvignon, Carmenère, Cabernet Franc, Syrah and Merlot. Drink now through 2022. 4,000 cases made. —KM",2012,$39 ,94.0,3
22,Taylor Fladgate Vintage Port-,"This is packed with raspberry, blackberry and blueberry fruit flavors that play off one another, melding with anise, fruitcake and ganache notes. A warm tarry edge coats the finish, revealing an echo of bramble. A seriously grippy, strapping Port, this revels in its power. Best from 2032 through 2055. 6,200 cases made. —JM",2016,$120 ,98.0,3
23,Antinori Toscana Tignanello-,"Dense and intensely flavored, with violet, black currant, blackberry, graphite, wild herb and spice aromas and flavors, this is concentrated and solidly built, yet also harmonious, vibrant and pure. Approachable now, but should be better in a few years. Sangiovese, Cabernet Sauvignon and Cabernet Franc. Best from 2021 through 2035. 5,000 cases imported. —BS",2015,$135 ,97.0,3
24,Tensley Syrah Santa Barbara County Colson Canyon Vineyard-,"A distinctive red, with power, polish and structure, offering floral blueberry and garrigue aromas and dynamic huckleberry, river stone and smoky meat flavors that take on momentum toward the refined tannins. Drink now through 2028. 1,900 cases made. —TF",2016,$42 ,94.0,3
25,Bodegas y Viñedos Valderiz Ribera del Duero-,"Rich and focused, this red delivers ripe fruit flavors of currant and blackberry that mingle with espresso, mineral and licorice notes. The firm tannins are well-integrated and crisp acidity keeps this focused. Concentrated and harmonious. Drink now through 2030. 2,500 cases made. —TM",2015,$45 ,94.0,3
26,Roederer Estate Brut Anderson Valley-,"Seamless and silky, showing an almost effortless sense of complexity, with notes of lemon and pear paired with toasty brioche, fresh ginger and hazelnut details. Drink now. 80,000 cases made. —TF",NV,$24 ,93.0,3
27,Penley Cabernet Sauvignon Coonawarra Phoenix-,"Dense, with sink-your-teeth-into-them tannins and concentration to the plum, cassis and blackberry flavors. Sage and rosemary accents linger in the background. Strikes the right balance between power and elegance, with grace notes of eucalyptus, black tea and tobacco lingering on the velvety finish. Drink now through 2030. 4,300 cases imported. —MW",2016,$20 ,93.0,3
28,Bodegas Breca Garnacha Aragón Old Vines-,"Round, smooth and dense, this red shows harmony and balance. Plum and blackberry flavors mingle with black olive, toast and mineral notes, supported by well-integrated tannins and fresh acidity, leaving a lovely floral finish. Drink now through 2027. 20,000 cases made. —TM",2015,$16 ,92.0,3
29,DeLille Syrah Yakima Valley Signature-,"Polished and gracefully complex, with refined blackberry, espresso and smoked pepper flavors that glide along toward refined tannins. Drink now through 2025. 700 cases made. —TF",2015,$46 ,94.0,3
30,Domaine Giraud Châteauneuf-du-Pape-,"Enticing, with bright, engaging raspberry, cherry and red currant fruit infused with gently roasted sandalwood and apple wood, garrigue and licorice root notes. A swath of tobacco underscores the finish, giving this an old-school hint. Best from 2020 through 2040. 2,500 cases made. —JM",2016,$55 ,95.0,3
31,Nautilus Sauvignon Blanc Marlborough-,"Rich and complex, with honeysuckle and freshly grated ginger notes up front, giving way to juicy and crisp Meyer lemon, yellow apple and Asian pear flavors. Hints of lime zest and dried mango linger. Drink now. 10,000 cases imported. —MW",2017,$17 ,92.0,3
32,Château Branaire-Ducru St.-Julien-,"This pumps lush fig, boysenberry and blackberry confiture notes along, pushed by a rather polished but ample structure. Lots of anise and violet details cascade in on the finish, giving this extra aromatic dimension. Best from 2020 through 2038. 15,000 cases made. —JM",2015,$58 ,94.0,3
33,Lingua Franca Chardonnay Willamette Valley Bunker Hill-,"Sleek and seamlessly complex, featuring expressive floral lemongrass and steely mineral aromas and plush yet refined green apple and lemon flavors accented by spicy lees. Drink now through 2022. 692 cases made. —TF",2016,$50 ,94.0,3
34,Descendientes de J. Palacios Bierzo Pétalos-,"This savory red offers notes of espresso, black olive and graphite framing a core of black cherry and licorice. Fine-grained tannins and fresh acidity keep this balanced. Harmonious and graceful. Drink now through 2024. 27,000 cases made. —TM",2016,$21 ,92.0,3
35,Ferrari-Carano Chardonnay Russian River Valley Tré Terre Vineyard Select Collection-,"Strikes a fine balance between vibrant citrus and green apple and pear notes. Lightly oaky and creamy midpalate, this is deftly elegant and refined. Drink now through 2022. 5,400 cases made. —JL",2016,$28 ,93.0,3
36,Bodegas Hidalgo La Gitana Manzanilla Sanlúcar de Barrameda La Gitana-,"A bright, high-pitched style, showing tangy quinine and chamomile notes laced with talc and fleur de sel flavors. Very dry, brisk, stony-edged finish. An absolute delight. Drink now. 62,000 cases made. —JM",NV,$26 ,92.0,2
37,Leeuwin Chardonnay Margaret River Art Series-,"Supple and creamy up front, with precision to the nutmeg, lemon curd, verbena and mandarin orange flavors, which are intense and harmonious. The elegant body and lingering accents of ginger and citrus zest elevate this white to something special. Drink now through 2028. 800 cases imported. —MW",2015,$89 ,95.0,3
38,Patricia Green Pinot Noir Willamette Valley Reserve-,"Shows structure and sleek polish, with expressive raspberry and rose petal aromas and layered red plum, black tea and spice flavors that linger toward refined tannins. Drink now through 2024. 2,917 cases made. —TF",2016,$27 ,93.0,3
39,Cline Zinfandel Contra Costa County Ancient Vines-,"Lively and supple, with floral raspberry and fresh pepper aromas and sleekly appealing cherry and licorice flavors that glide lightly along the finish. Drink now through 2022. 50,000 cases made. —TF",2016,$15 ,91.0,3
40,San Román Bodegas y Viñedos Toro-,"A velvety texture carries ripe fruit flavors of plum and blackberry in this plush red. Cocoa, loamy earth and mineral notes add depth and interest. Ripe tannins are well-integrated, and balsamic acidity keeps this lively. Drink now through 2029. 8,000 cases made. —TM",2014,$67 ,94.0,3
41,Loveblock Pinot Noir Central Otago-,"Rich and creamy, with clove-scented notes of black cherry, plum and licorice that are vibrant and expressive, while intriguing details of forest floor and fresh herb linger, adding another dimension. Shows terrific harmony on the finish. Drink now through 2028. 7,000 cases made. —MW",2015,$30 ,92.0,3
42,Milbrandt Cabernet Sauvignon Columbia Valley-,"Precise and well-built, with refined black cherry and black tea flavors that build dimension toward polished tannins. Drink now through 2024. 4,000 cases made. —TF",2015,$17 ,91.0,3
43,Nik Weis St.-Urbans-Hof Riesling Qualitätswein Mosel From Old Vines-,"A pure, well-sculpted, off-dry version, with persimmon, lime and slate flavors coating the palate. Hints of orchard blossom and herbs add to the complexity, making you reach for another sip. Drink now through 2024. 7,000 cases made. —AZ",2016,$19 ,91.0,3
44,Easton Zinfandel Amador County-,"Epitomizes fine Sierra Foothills Zinfandel, offering vibrant, briary raspberry, smoked pepper and wild sweet anise flavors that stretch out on the zesty finish. Drink now through 2023. 6,200 cases made. —TF",2015,$22 ,92.0,3
45,Henri Bourgeois Sancerre Les Baronnes-,"Lively, with bright lemon curd, gooseberry, thyme and lime pith notes. The bright finish has mouthwatering cut thanks to a light chalky echo. Drink now through 2021. 7,000 cases made. —JM",2017,$25 ,92.0,2
46,Edetària Garnatxa Blanca Terra Alta Via Terra-,"This white has a thick texture, delivering pear, guava, tarragon and blanched almond flavors. Firm acidity and a touch of tannins give this a solid frame. Muscular, but remains balanced. Drink now through 2023. 5,000 cases made. —TM",2017,$15 ,91.0,3
47,Nigl Grüner Veltliner Niederösterreich Freiheit-,"Grass and pine aromas and flavors predominate, with peach, grapefruit and floral notes underneath. Fine balance and persistence here, ending with mouthwatering notes of peach, flowers and mineral. Drink now through 2024. 1,000 cases imported. —BS",2016,$20 ,91.0,3
48,Domaine Gerovassiliou Malagousia Epanomi Single Vineyard-,"A lovely nose of floral and citrus notes leads to expressive flavors of ruby red grapefruit granita and ripe yellow peach in this well-cut, light- to medium-bodied white. Lithe and lingering on the minerally finish. Drink now through 2023. 6,700 cases made. —AN",2016,$23 ,91.0,3
49,The Four Graces Pinot Noir Willamette Valley-,"An expressive and supple version, with a complex core of lively tannins and acidity, plus accents of black cherry, cinnamon and spice that linger toward the minerally finish. Drink now through 2024. 14,140 cases made. —TF",2015,$32 ,93.0,3
50,Radikon Venezia-Giulia Slatnik S Label-,,2015,$35 ,95.0,2
