Rank,Wine,Vintage,Score,Price,
,"A well of dark cherry, black currant and blackberry fruit makes this red sumptuous and inviting. Fresh earth, thyme and rosemary accents add depth. A mineral element emerges on the long finish. Shows fine balance overall. Merlot, Sangiovese, Petit Verdot and Syrah. Drink now through 2032. 7,000 cases made, 1,500 cases imported. —BS",,,,
30,Domaine de la Charbonnière Châteauneuf-du-Pape-,2016,94,$40 ,
,"Features the dense, dark, ripe profile of the vintage, with a core of steeped currant, fig and boysenberry fruit, supported by a dense structure, notes of dark earth, tobacco and bitter cocoa, and a long finish that ripples with latent energy. Grenache, Syrah and Mourvèdre. Best from 2023 through 2037. 2,400 cases made, 500 cases imported. —JM",,,,
31,Quivira Sauvignon Blanc Dry Creek Valley Alder Grove Vineyard-,2017,93,$24 ,
,"A complex note of dried honeysuckle and a whiff of smoke add intrigue and depth to the core of succulent peach, melon and mango flavors, set on a medium body, with a fresh frame. Shows wonderful purity of fruit and nuances that linger effortlessly. Drink now. 1,370 cases made. —MW",,,,
32,Torbreck Shiraz Barossa Valley Woodcutter's-,2017,93,$25 ,
,"Aromatic and stylish, opening with violet, white pepper and subtle sweet cream notes. The core gushes with huckleberry and wild blueberry flavors, revealing shades of rosemary and apricot. Supple and smooth, with tannins hanging in the background, providing appealing traction. The finish sails on and on. Drink now through 2035. 7,000 cases made, 3,500 cases imported. —MW",,,,
33,Castello di Gabbiano Chianti Classico-,2015,92,$14 ,
,"An elegant style, offering black cherry, blackberry, iron and earth flavors, with a hint of wild herbs. The vibrant structure keeps this focused and drives the lingering finish. Drink now through 2033. 61,000 cases made, 40,000 cases imported. —BS",,,,
34,Godelia Mencía Bierzo-,2015,93,$23 ,
,"Black cherry, plum and currant flavors give this red a rich core of fruit, while leafy, licorice and mineral notes add complexity. Well-integrated tannins and gentle acidity focus the plush texture. Harmonious, showing good depth. Drink now through 2025. 5,000 cases made, 600 cases imported. —TM",,,,
35,Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace-,2017,96,$110 ,
,"Seduces you immediately, with expressive violet and dark raspberry aromas that open to polished and brilliantly structured blueberry, savory anise and tea flavors that take on richness on a long finish. Drink now through 2026. 1,850 cases made. —TF",,,,
36,Nervi Conterno Gattinara-,2015,94,$56 ,
,"Haunting aromas of rose, wild cherry, kirsch, mineral and leather are the hallmarks of this silky, elegant red, which is linear and balanced, extending on the finish with notes of fruit, spice, mineral and tobacco. Very harmonious. Drink now through 2033. 5,000 cases made. —BS",,,,
37,La Jota Merlot Howell Mountain-,2016,95,$85 ,
,"An elegant style, featuring lilting flavors of red currant and dried raspberry that show hints of cedar and paprika. Fine-edged, with savory richness midpalate. Dried green herbal notes emerge on the minerally finish. Drink now through 2026. 1,657 cases made. —KM",,,,
38,Bernhard Ott Niederösterreich Am Berg-,2017,92,$21 ,
,"Lovely aromas of lily, rose, vanilla and coconut accent the peach and pineapple flavors in this white. A firm structure and dense texture make this complete. Multidimensional, with enough acidity for balance, and the body helps out. Persistent saline finish. Grüner Veltliner. Drink now through 2027. 1,320 cases imported. —AZ",,,,
39,Ca' del Baio Barbaresco Autinbej-,2015,93,$28 ,
,"A briny mineral note in the aroma signals this high-tension red. There is ample fruit and flesh on the palate, with cherry, strawberry, stone and white pepper flavors. Tightens up again on the finish. Best from 2021 through 2038. 1,830 cases made, 1,200 cases imported. —BS",,,,
40,Bodegas Marqués de Murrieta Rioja Finca Ygay Reserva-,2015,92,$29 ,
,"Cedar, tobacco, dried cherry and spice flavors mingle in this red. Features a polished texture, with well-integrated tannins and orange peel acidity. Supple, harmonious and graceful. Tempranillo, Graciano, Mazuelo and Garnacha. Drink now through 2025. 100,000 cases made, 9,067 cases imported. —TM",,,,
41,Carol Shelton Coquille Blanc Paso Robles-,2017,93,$24 ,
,"Fresh and spicy pear, lime and green apple flavors show details of matcha, peach blossom and honeysuckle in this white, which offers nice complexity and balance, with plenty of fresh acidity. Grenache Blanc, Roussanne, Viognier and Marsanne. Drink now through 2024. 1,203 cases made. —MW",,,,
42,Giant Steps Pinot Noir Yarra Valley-,2018,94,$30 ,
,"Elegant and distinctive, offering fresh raspberry, sage and white pepper notes that are precise, supple and juicy, with a thread of fresh loam and forest floor, supported by polished tannins. A touch of matcha green tea lingers on the finish. Drink now through 2033. 350 cases imported. —MW",,,,
43,Roar Pinot Noir Santa Lucia Highlands Sierra Mar Vineyard-,2017,94,$58 ,
,"Rich and plush, revealing a sinewy power to the dried cherry, macerated plum and red currant flavors. Luxuriantly spiced, with a long, creamy finish of cardamom, dried ginger and chocolate hints. Well-crafted and elegantly styled. Drink now through 2025. 686 cases made. —KM",,,,
44,Bernard Baudry Chinon-,2017,92,$24 ,
,"A gorgeous red, with tobacco, bay leaf and black pepper notes underscoring the dark cherry and cola flavors. Beautifully integrated tannins join the fresh acidity and create a solid structure that gives this harmony and promises a long life ahead. Delicious now, but should be even better in a few years. Best from 2021 through 2030. 600 cases imported. —AZ",,,,
45,Mark Ryan The Dissident Columbia Valley-,2016,93,$38 ,
,"Expressive and multilayered, with lively rose petal and black cherry aromas and sleekly complex flavors that take on richness toward polished tannins. Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot. Drink now through 2029. 3,900 cases made. —TF",,,,
46,Loveblock Pinot Noir Central Otago-,2018,93,$35 ,
,"This displays an impressive presence, smooth and succulent, with vibrant cherry, raspberry and apricot notes and touches of white pepper, anise seed and toasted cumin. The texture is smooth, with firm tannins that add an appealing traction on the finish. Drink now through 2033. 4,500 cases made, 3,500 cases imported. —MW",,,,
47,Brick House Pinot Noir Ribbon Ridge Les Dijonnais-,2016,94,$52 ,
,"Sleek and harmonious, with effortlessly complex violet, raspberry and river stone accents that take on richness toward a lingering finish. Drink now through 2025. 640 cases made. —TF",,,,
48,G.D. Vajra Barolo Albe-,2015,93,$40 ,
,"Pretty, featuring rose, cherry, raspberry and mint flavors, with a touch of mineral. Supple, harmonious and elegant, offering a long finish. The aftertaste is tinged with orange peel and tobacco notes. Best from 2021 through 2036. 4,500 cases made. —BS",,,,
49,Wines of Substance Cabernet Sauvignon Washington Cs Substance-,2017,91,$17 ,
,"Precise and vibrantly structured, with black cherry, espresso and spice flavors that take on richness toward polished tannins. Drink now through 2024. 162,605 cases made. —TF",,,,
50,Marchesi di Barolo Barbera del Monferrato Maraia-,2017,91,$13 ,
,"A sleek, racy style, this red boasts raspberry, boysenberry, graphite and spice flavors. Balanced and focused, with lingering echoes of fruit, mineral and spice. Drink now through 2024. 10,000 cases made, 7,800 cases imported. —BS",,,,
51,P. Llopart Brut Rosé Cava Reserva-,2016,91,$22 ,
,"The flavors of nectarine and white cherry are fresh and pure in this elegant sparkling rosé, with pretty accents of ground ginger, chalk and pink grapefruit sorbet riding the fine bead and lingering on the zesty finish. Drink now through 2022. 5,000 cases made, 1,000 cases imported. —AN",,,,
52,Aubert Pinot Noir Sonoma Coast UV-SL Vineyard-,2017,95,$85 ,
,"Rich and expressive, featuring concentrated boysenberry, plum tart and dark cherry flavors that are flush with crunchy acidity. Minerally midpalate, with a long, plush finish that offers flinty and meaty overtones. Drink now through 2024. 791 cases made. —KM",,,,
53,Quinta do Noval Vintage Port-,2017,98,$125 ,
,"This is well-packed, offering the vivid plum, boysenberry, cassis and açaí berry fruit profile of the vintage, along with a dark edge of tar, baker's chocolate and salted licorice that courses underneath. The long finish lets the fruit play out, keeping singed alder and chai spice hints in the background. Smolderingly seductive. Touriga Nacional, Touriga Franca, Tinta Cão, Sousão and Tinta Roriz. Best from 2035 through 2060. 3,500 cases made. —JM",,,,
54,Poliziano Vino Nobile di Montepulciano-,2016,92,$30 ,
,"Bright black cherry, plum, earth, vanilla and toasty oak flavors are the hallmarks of this well-crafted red. Balanced, this needs a year or two to integrate more fully and extend the finish. Firm grip. Sangiovese, Colorino, Canaiolo and Merlot. Best from 2021 through 2033. 16,000 cases made, 2,600 cases imported. —BS",,,,
55,Failla Pinot Noir Russian River Valley Keefer Ranch-,2017,93,$52 ,
,"Plush, featuring creamy notes that accent the concentrated cherry tart, dark plum and currant flavors, taking on a pastrylike richness. Sandalwood and spice details linger on the finish, with chocolate hints. Drink now through 2023. 1,179 cases made. —KM",,,,
56,Quinta do Vale Meão Douro-,2016,96,$99 ,
,"Well-crafted, balancing power and finesse, this red layers raspberry gelée, cherry tart and olive tapenade flavors with cured meat, black tea and wild rosemary accents. Sinewy tannins mark the rich finish, infused with licorice, mocha and baking spice aromas. Touriga Nacional, Touriga Franca, Tinta Barroca and Tinta Roriz. Best from 2021 through 2030. 2,400 cases made, 240 cases imported. —GS",,,,
57,Alain Voge Cornas Les Vieilles Vignes-,2016,95,$85 ,
,"This offers a mix of red and black cherry paste flavors, infused with a range of bay leaf, savory, tobacco, olive and chalk notes. Shows a grippy feel through the finish, with the chalky minerality driving through. Best from 2022 through 2038. 1,230 cases made, 220 cases imported. —JM",,,,
58,A to Z Wineworks Chardonnay Oregon-,2018,90,$15 ,
,"Vibrant, with plush fruit, offering medium-weight lemon and quince flavors that take on expression and polish on the finish. Drink now through 2020. 38,270 cases made. —TF",,,,
59,Viña Montes Alpha M Colchagua Valley-,2015,95,$100 ,
,"Rich, robust and lusciously spiced, with concentrated dark cherry, plum and boysenberry flavors supported by fresh acidity. Intense midpalate minerality is followed by a finish loaded with chocolate and cream notes. Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Drink now through 2024. 4,500 cases made, 500 cases imported. —KM",,,,
60,Mt. Beautiful Sauvignon Blanc North Canterbury-,2018,90,$17 ,
,"Offers an appealing core of intense, lush flavors of ripe melon and peach, with details of white pepper, honeysuckle and ruby grapefruit lingering on the finish. Impressive for the intensity and focus. Drink now. 14,800 cases made, 10,000 cases imported. —MW",,,,
61,Cambria Chardonnay Santa Maria Valley Katherine's Vineyard-,2017,91,$22 ,
,"Well-structured, with a smoky richness to the mineral-infused apple and pear tart flavors. The fresh, spicy finish lingers with a creamy texture. Drink now through 2022. 40,000 cases made. —KM",,,,
62,Viña Haras de Pirque Cabernet Sauvignon Maipo Valley Hussonet Gran Reserva-,2015,90,$15 ,
,"Big and fresh-tasting, with concentrated dark plum, dark currant and black olive flavors. Asian spice and dark chocolate notes on the muscular finish. Drink now through 2024. 2,500 cases imported. —KM",,,,
63,Michel Gassier Costières de Nîmes White Nostre Païs-,2017,91,$22 ,
,"Fresh, featuring pear, yellow apple, melon and jasmine notes streaming through together, with a flash of lemon shortbread on the enticing finish. Grenache Blanc, Roussanne, Clairette, Viognier and Bourboulenc. Drink now. 3,000 cases made, 1,200 cases imported. —JM",,,,
64,Dry Creek Zinfandel Sonoma County Heritage Vines-,2017,91,$26 ,
,"Briary and vibrant, with zesty raspberry, toasted sage and cracked pepper flavors that take on richness toward polished tannins. Drink now through 2025. 15,000 cases made. —TF",,,,
65,Tania & Vincent Carême Terre Brûlée Le Blanc Swartland-,2018,90,$16 ,
,"Elegant, showing a gentle texture, with intense acidity giving energy to the flavors of yellow apple, lime and honeysuckle. Salty mineral elements emerge midpalate, leaving a savory aftertaste. Best from 2021 through 2028. 2,200 cases imported. —AZ",,,,
66,RouteStock Pinot Noir Sonoma Coast 116-,2017,91,$23 ,
,"This offers creamy raspberry, currant and wild plum flavors, supported by medium-grained tannins. The spicy finish lingers with chocolate notes and hints of mint. Drink now through 2023. 5,024 cases made. —KM",,,,
67,Marquis d'Angerville Volnay Champans-,2016,95,$150 ,
,"Pure and intense, featuring cherry, black currant and violet aromas and flavors, this red is seductive and approachable despite its youth. The solid structure is seamlessly integrated and bodes well for future development. Shows terrific harmony and expression. Best from 2023 through 2042. 145 cases imported. —BS",,,,
68,Mirabella Brut Rosé Franciacorta-,NV,92,$29 ,
,"An expressive rosé, with mouthwatering acidity and a satiny mousse, this offers flavors of ripe nectarine, candied ginger, pomegranate and star anise, underscored by chalky mineral notes. Drink now through 2024. 6,000 cases made, 600 cases imported. —AN",,,,
69,Farella Cabernet Sauvignon Coombsville-,2015,94,$65 ,
,"Dark and winey, with steeped black currant, fig and blackberry fruit flavors, inlaid liberally with smoldering charcoal and sweet tobacco notes. Anise and tar details score the finish, adding length and range to the depth and energy. Best from 2021 through 2035. Tasted twice, with consistent notes. 257 cases made. —JM",,,,
70,Forstreiter Grüner Veltliner Kremstal Kremser Kogl-,2018,90,$17 ,
,"Mineral-driven and well-built, this is bursting with notes of iodine, lentil and white pepper, while nectarine and pear flavors take a back seat. Very energetic, with enough structure to stand up to a serious meal. Drink now through 2026. 2,000 cases made, 1,200 cases imported. —AZ",,,,
71,Pierre Luneau-Papin Muscadet de Sèvre et Maine Sur Lie Clos des Allées-,2018,91,$21 ,
,"Very pure, showing a bit of richness, with a silky texture and notes of lemon verbena, lime zest, chamomile and fleur de sel that persist on the long, savory and dry finish. Drink now through 2026. 600 cases imported. —AZ",,,,
72,Marotti Campi Verdicchio dei Castelli di Jesi Classico Superiore Luzano-,2017,90,$17 ,
,"Light herb and citrus zest notes accent the apricot, wet stone, almond blossom and pear flavors in sleek and silky, light- to medium-bodied white. Fresh and lingering, with a minerally finish. Drink now through 2024. 1,500 cases imported. —AN",,,,
73,Cristom Pinot Noir Willamette Valley Mt. Jefferson Cuvée-,2017,92,$35 ,
,"Expressive strawberry blossom and raspberry aromas open to elegantly structured cherry and spicy cinnamon flavors that build richness toward refined tannins. Drink now through 2025. 9,835 cases made. —TF",,,,
74,Corazon del Sol Malbec Los Chacayes Gran Reserva Revana Vineyard-,2016,94,$75 ,
,"Elegant and powerful, featuring concentrated kirsch, blueberry and dark cherry flavors that are supported by fresh acidity and zesty tannins. Shows intense minerality midpalate, with a long and generously spiced finish, filled with accents of flint and clove. Complex. Drink now through 2025. 200 cases made, 150 cases imported. —KM",,,,
75,Jean Perrier & Fils Savoie Apremont Cuvée Gastronomie-,2018,90,$17 ,
,"Features an alluring brioche hint around a core of lemon curd, white peach and yellow apple flavors, with light fennel and salted butter hints weaving through the finish. Drink now through 2020. 11,000 cases made, 1,000 cases imported. —JM",,,,
76,Penner-Ash Pinot Noir Yamhill-Carlton District Shea Vineyard-,2016,94,$72 ,
,"Elegant yet dynamic, with violet, raspberry and spiced cinnamon flavors that build richness and structure toward refined tannins. Drink now through 2026. 1,100 cases made. —TF",,,,
77,Vincenzo Ippolito Cirò White Mare Chiaro-,2018,90,$19 ,
,"An aromatic, light-bodied white, with lip-smacking acidity and a subtly chalky texture, this offers flavors of melon, jasmine and pink grapefruit pith. Minerally finish. Drink now through 2022. 9,000 cases made, 2,000 cases imported. —AN",,,,
78,Gérard Bertrand Languedoc Art de Vivre-,2015,90,$20 ,
,"Polished, supple tannins support the black cherry, red plum and wild raspberry notes of this juicy red, with savory touches of mineral and herb on the clean finish. Grenache, Syrah and Mourvèdre. Drink now through 2022. 35,000 cases made, 10,000 cases imported. —GS",,,,
79,Macdonald Cabernet Sauvignon Oakville-,2016,96,$175 ,
,"Very concentrated, this moves slowly but with authority, as the core of cassis and mulled plum fruit is laced with plum pit, stony mineral, light savory, alder and incense notes. Youthfully tight, but with a long echo of sweet fruit that plays out while serious cut and loamy grip hold a rock-steady rhythm. Should cruise in the cellar. Best from 2021 through 2042. 369 cases made. —JM",,,,
80,Casa Vinicola Triacca Valtellina Superiore Sassella-,2016,91,$18 ,
,"An elegant red, with sleek tannins trimming a fresh range of macerated raspberry, sandalwood, lavender and iron flavors. Well-knit, featuring a creamy, lingering finish that echoes mineral and citrus peel notes. Drink now through 2029. 2,000 cases made, 300 cases imported. —AN",,,,
81,Veuve Ambal Brut Crémant de Bourgogne Grande Cuvée-,NV,90,$20 ,
,"A toasty version, laced with vanilla, pastry cream and spice notes, this is enlivened by racy acidity that creates a mouthwatering frame for the poached quince, apricot and candied ginger flavors. Drink now through 2022. 100,000 cases made, 5,000 cases imported. —AN",,,,
82,Friedrich Becker Pinot Blanc Pfalz Becker Family-,2017,90,$18 ,
,"A harmonious white, lush and creamy in texture, with acidity imparting freshness and focus. Offers a pleasing mix of Bosc pear, pickled ginger, apple blossom and stony mineral notes. Spicy finish. Drink now through 2025. 600 cases imported. —AZ",,,,
83,Planeta Cerasuolo di Vittoria-,2017,90,$24 ,
,"This medium-bodied red is balanced and fresh, with light, taut tannins and a well-knit mix of wild strawberry and raspberry, dried thyme, singed orange peel and spicy mineral flavors. Drink now through 2023. 8,000 cases made, 4,000 cases imported. —AN",,,,
84,Domaine Faiveley Nuits-St.-Georges-,2016,94,$68 ,
,"A touch of gaminess in the aroma gives way to blackberry, black cherry, earth and iron flavors in this rich, solidly structured red. Vibrant and balanced, though this needs a little time to integrate. Terrific length. Best from 2023 through 2042. 1,083 cases made, 150 cases imported. —BS",,,,
85,San Martino Aglianico del Vulture Arberesko-,2015,92,$24 ,
,"A fresh and elegant red, medium- to full-bodied, featuring supple tannins finely meshed with flavors of crushed black cherry fruit and a core of smoke-tinged mineral, with delicate tea leaf and star anise accents. Long and racy on the finish. Drink now through 2029. 1,000 cases made, 200 cases imported. —AN",,,,
86,Bieler Père & Fils Bandol Rosé Réserve-,2018,90,$22 ,
,"Supple white raspberry and tangerine notes are supported by steely acidity, with heather, wild herb and mineral notes carrying through the spicy, savory-driven finish. Drink now. 1,200 cases made, 1,200 cases imported. —GS",,,,
87,Cantina Terlano Pinot Grigio Alto Adige Tradition-,2018,90,$25 ,
,"A creamy, light-bodied white, with mouthwatering acidity driving a finely knit range of Honeycrisp apple, Marcona almond and orchard blossom flavors, showing a rich and tangy streak of salinity that lingers on the finish. Drink now through 2023. 9,167 cases made, 8,000 cases imported. —AN",,,,
88,Bodega Burdigala Rueda Campo Elíseo Cuvée Alegre-,2018,90,$15 ,
,"This rich white shows lively flavors of pineapple and quince, backed by tangerine acidity and deepened by notes of vanilla and spice. A fruit-centered style that remains bright and balanced. Drink now. 3,750 cases produced, 200 cases imported. —TM",,,,
89,Rotem & Mounir Saouma Châteauneuf-du-Pape Omnia-,2016,97,$107 ,
,"Sublime, with a beguiling mouthfeel to the layers of cherry puree, steeped plum and warmed raspberry coulis fruit flavors, melded with rooibos tea, bergamot, incense and jasmine notes. The long finish features subtle minerality and remarkable persistence, seeming to move with grace. Grenache, Syrah and Mourvèdre. Best from 2021 through 2045. 125 cases imported. —JM",,,,
90,Hans Wirsching Riesling Franken Iphöfer Kronsberg Alte Reben-,2017,90,$19 ,
,"Clean and airy, with good cut to the apple, green peach and gooseberry flavors, featuring notes of dried mint. The spicy finish lingers, revealing accents of savory mineral and white pepper. Best from 2020 through 2027. 1,000 cases made, 650 cases imported. —AZ",,,,
91,Snowden Cabernet Sauvignon Napa Valley Brothers Vineyard-,2016,94,$90 ,
,"Offers a tasty core of plum and blackberry fruit, backed by lively anise and apple wood notes. Restrained overall, with an alluring freshness and a subtle charcoal hint lingering deftly at the end. Drink now through 2032. 639 cases made. —JM",,,,
