Rank,Wine,Vintage,Score,Price,
,"Alluring, with quince, creamed pear, verbena and green almond flavors allied to a creamy texture, all offset beautifully through the finish by light quinine and mineral hints. Approachable, but this seems built for the cellar. Best from 2018 through 2030. 1,500 cases imported. —JM",,,,
16,Turley Zinfandel Paso Robles Ueberroth Vineyard-,2014,95,$48 ,
,"An impressive combo of refinement and torque. This features ripe, rich fruit backed by great minerality and structure, with notes of raspberry and blackberry plus licorice, sage and pepper. Drink now through 2028. 1,380 cases made. —TF",,,,
17,Volver Alicante Tarima Hill Old Vines-,2015,92,$17 ,
,"This red shows grace and depth. Black cherry, plum, mineral and smoke flavors mingle harmoniously over well-integrated tannins, while lively acidity keeps this focused. Not showy, but all the pieces fit together. Balanced, in the modern style. Drink now through 2025. 10,000 cases made. —TM",,,,
18,Bodega Colomé Malbec Salta-,2015,92,$25 ,
,"Refined and rich-tasting, with effusive minerality to the red berry and cherry flavors, lathered with plenty of creamy accents. Pepper and cigar box notes show on the long and complex finish. Drink now through 2022. 27,300 cases made. —KM",,,,
19,Marqués de Cáceres Rioja Reserva-,2012,93,$31 ,
,"Black cherry, currant and floral notes are expressive and alluring, balanced by loamy earth, tobacco and mineral elements that add a savory quality. Firm, well-integrated tannins give support to the polished texture, while orange peel acidity fuels the fresh finish. Drink now through 2027. 10,000 cases imported. —TM",,,,
20,San Felice Brunello di Montalcino Campogiovanni-,2012,96,$60 ,
,"In a traditional style, featuring beefy tannins and savory earth notes, with a core of leather and cherry flavors. Shows some sweetness midpalate and picks up energy on the long finish. Hangs together, ending in an uplifting, resonant manner. Best from 2021 through 2036. 5,833 cases made. —BS",,,,
21,Hartford Family Zinfandel Russian River Valley Old Vine-,2015,94,$38 ,
,"This is what Russian River Zinfandel is all about. Rich, dynamic and layered, with complex fruit, offering notes of jammy black raspberry, stony mineral, herbes de Provence and licorice. The finish unfurls at length. Drink now through 2026. 1,700 cases made. —TF",,,,
22,Saxum James Berry Vineyard Paso Robles Willow Creek District-,2014,97,$98 ,
,"A dramatic wine that weds power and opulence, maintaining impeccable balance along the way. Brooding dark berry and loamy mineral aromas lead to rich flavors of currant, licorice, dried sage and smoky pepper. Ripe tannins frame the finish. Grenache, Mourvèdre, Syrah, Counoise and Roussanne. Best from 2018 through 2028. 1,400 cases made. —TF",,,,
23,Mazzei Maremma Toscana Tenuta Belguardo-,2013,95,$55 ,
,"A red of great purity and polish, offering black cherry, blackberry, spice and herb flavors, this evokes tobacco, graphite and leather nuances as it builds nicely on the palate. Finishes with grip, harmony and complexity, as well as terrific length. Cabernet Sauvignon and Cabernet Franc. Drink now through 2028. 1,083 cases made. —BS",,,,
24,Justin Justification Paso Robles-,2014,94,$50 ,
,"Smooth-textured, graceful and refined, with a tenderness to the texture and tannins. Features a warm, inviting mix of red and dark berry flavors and subtle shades of licorice, light mocha and savory herbs, revealing floral scents and a long, persistent finish that echoes the core essence. Cabernet Franc and Merlot. Drink now through 2035. 11,000 cases made. —JL",,,,
25,Roederer Estate Brut Anderson Valley-,NV,92,$24 ,
,"A voluptuous and expressive sparkler, with floral red apple, brioche and cinnamon spice aromas and rich, vibrant flavors that finish on a luxurious note. Drink now through 2018. 80,000 cases made. —TF",,,,
26,Tablas Creek Patelin de Tablas Blanc Paso Robles-,2015,93,$25 ,
,"This vibrant and mouthwatering white shows green apple, Meyer lemon and dried pineapple flavors that are fresh and juicy. Lemon verbena and lime sherbet notes reverberate on the long, detailed finish. Grenache Blanc, Viognier, Roussanne and Marsanne. Drink now. 2,920 cases made. —MW",,,,
27,Bodegas Alto Moncayo Garnacha Campo de Borja Veraton-,2014,92,$30 ,
,"Expressive flavors of cherry, raspberry and dark chocolate mingle in this polished red, balanced by notes of licorice and wild herbs. The tannins are well-integrated, and balsamic acidity keeps this balanced. Dense and harmonious, in the modern style. Drink now through 2022. 3,000 cases made. —TM",,,,
28,Kendall-Jackson Chardonnay California Vintner's Reserve-,2015,91,$17 ,
,"Plush, with loads of richness to the well-honed flavors of beeswax, baked pear and lemon tart. Minerally midpalate, with a fresh and zesty finish that finishes with pastry notes. Drink now through 2020. 100,000 cases made. —KM",,,,
29,Viña Santa Ema Cabernet Sauvignon Maipo Valley Reserva-,2015,91,$15 ,
,"Dark plum and dried red berry flavors dominate this muscular red, with plenty of minty and savory accents. Medium-grained tannins support chocolate and cream details on the finish. Drink now through 2021. 25,000 cases made. —KM",,,,
30,Hijos de Rainera Perez Marin Manzanilla Sanlúcar de Barrameda La Guita-,NV,91,$15 ,
,"Distinctive, with verbena and tarragon notes leading the way, followed by lemon pith and jicama flavors. Flashes of gooseberry and talc run through the finish. Bottled June 2016. Drink now. 200,000 cases made. —JM",,,,
31,Forge Riesling Finger Lakes Classique-,2015,92,$19 ,
,"Weighty for a Riesling, with a rounded feel and layers of creamed yellow apple, white peach and persimmon flavors. Delivers energy and cut throughout, with lemon pith, citrus oil and chamomile accents filling in. Shows length and range through the finish. Drink now through 2021. 1,800 cases made. —JM",,,,
32,Sidebar Sauvignon Blanc High Valley-,2015,91,$20 ,
,"Focused and precise, with detailed lemon meringue, orange blossom and lime zest flavors that are intense, fragrant and harmonious on the long, crisp finish. Drink now. 2,198 cases made. —MW",,,,
33,Jim Barry Riesling Clare Valley The Lodge Hill Dry-,2016,91,$20 ,
,"A taut and linear white, with a lip-smacking blend of peach, lime and green apple flavors, finishing on a refreshing note. Drink now. 3,000 cases imported. —MW",,,,
34,Finca Decero Malbec Agrelo Remolinos Vineyard-,2015,91,$22 ,
,"An elegant style, with a core of vibrant cherry, plum and currant flavors that are supported by fresh acidity. This is supple midpalate, with a finish that lingers with dried ginger and white pepper details. Drink now through 2022. 18,000 cases imported. —KM",,,,
35,Pazo de Señorans Albariño Rias Baixas-,2016,91,$21 ,
,"This big white is round and polished, with good weight and solid acidity behind the pear, blanched almond and white tea flavors. Ginger and briny notes give this a savory character. A muscular style. Drink now through 2022. 3,000 cases imported. —TM",,,,
36,Tait The Ball Buster Barossa Valley-,2014,91,$23 ,
,"Bold, with dense notes of dark chocolate-covered coffee bean, plum paste, wild blackberry, cigar box and date bread. Expressive and generous. The velvety tannins linger. Shiraz, Cabernet Sauvignon and Merlot. Drink now through 2027. 8,500 cases made. —MW",,,,
37,Karine Lauverjat Sancerre-,2016,91,$23 ,
,"Crunchy, with lots of gooseberry and thyme notes bouncing around, while flint and fleur de sel accents drive the mouthwatering finish. Drink now through 2020. 3,125 cases imported. —JM",,,,
38,Luigi Einaudi Dogliani-,2015,92,$16 ,
,"A beam of bracing acidity at the core of this intense, saturated red helps delineate the blackberry, boysenberry, blueberry and graphite flavors. This has grip and complexity, but just needs a little time. Best from 2018 through 2024. 9,000 cases made. —BS",,,,
39,Spring Valley Frederick Walla Walla Valley-,2014,94,$50 ,
,"Refined and impeccably structured, with floral black cherry and dusty dried spice aromas, and complex plum, olive and mocha flavors that glide toward polished tannins. Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot and Malbec. Drink now through 2023. 2,966 cases made. —TF",,,,
40,Matua Sauvignon Blanc Marlborough-,2016,90,$12 ,
,"Succulent, fleshy peach and nectarine flavors are accented by Key lime, mango and ruby grapefruit notes. Shows nice intensity on the long, expressive finish. Drink now. 589,000 cases made. —MW",,,,
41,Bodega Garzón Tannat Uruguay Reserva-,2015,90,$17 ,
,"Well-sculpted, with dense, rich flavors of dark plum, dried blackberry and dark currant that are supported by firm tannins. Christmas pudding and rich savory notes show on the finish. Drink now through 2022. 12,000 cases made. —KM",,,,
42,Colene Clemens Pinot Noir Chehalem Mountains Dopp Creek-,2014,91,$26 ,
,"Firm and focused, with cinnamon notes floating around red berry and floral flavors, finishing with gentle persistence against lively acidity and fine tannins. Best from 2018 through 2022. 3,100 cases made. —HS",,,,
43,J.-A. Ferret Pouilly-Fuissé-,2015,92,$35 ,
,"A sleek, stony version, this white exhibits lime blossom, apple, mineral and subtle spice flavors. Energetic, resonating on the long, citrus- and mineral-infused aftertaste. Drink now through 2024. 4,500 cases made. —BS",,,,
44,Domaine St.-Préfert Châteauneuf-du-Pape Auguste Favier Réserve-,2015,97,$55 ,
,"Vibrant and captivating, with exuberant fruitcake, cinnamon and black tea aromas leading the way for a fleshy core of raspberry pâte de fruit, plum sauce and cassis, all allied to a lovely velvety texture. Maintains intensity through the finish, showing a long echo of pastis. Best from 2020 through 2040. 1,300 cases made. —JM",,,,
45,Kaiken Malbec Mendoza Ultra Las Rocas-,2015,90,$20 ,
,"Dense and rich-tasting, with a muscular mix of dark currant and black olive flavors that are supported by firm tannins. Cocoa powder and slate notes fill the finish, along with peppery hints. Drink now through 2022. 10,000 cases made. —KM",,,,
46,Il Poggione Rosso di Montalcino-,2015,91,$27 ,
,"Bright, delicate and vibrant, with berry and floral flavors. Accents of earth, tobacco and spice add interest as they linger on the finish. Well-rounded and long. Drink now through 2023. 16,666 cases made. —BS",,,,
47,Bodegas Palacios Remondo Rioja La Vendimia-,2015,90,$17 ,
,"This red shows good density, with black cherry, plum, espresso and black olive flavors mingling over firm tannins and balsamic acidity. Stays balanced and focused through the smoky finish. Drink now through 2027. 3,552 cases imported. —TM",,,,
48,Penley Cabernet Sauvignon Coonawarra Phoenix-,2015,90,$20 ,
,"Dense tannins and flavors are packed into this wine, with briny Kalamata olive and black licorice nuances to the core of plum, cassis, sage, tobacco and cedar flavors, which fan out on the finish. Drink now through 2030. 4,300 cases imported. —MW",,,,
49,Rust en Vrede Syrah Stellenbosch-,2014,92,$29 ,
,"This is well-rendered, with a core of bramble-edged boysenberry, blackberry and raspberry fruit laced with mouthwatering savory and anise notes. Shows judicious toast through the finish, as roasted apple wood details dance through, letting the fruit win out in the end. Drink now through 2024. 3,540 cases made. —JM",,,,
50,Quinta das Carvalhas Touriga Nacional Douro-,2014,90,$22 ,
,"Supple but tightly knit, this focused red offers blackberry and currant fruit woven together with black olive, anise and grilled herb accents. Black tea and mineral notes chime in on the firm finish. Drink now through 2022. 7,500 cases made. —GS",,,,
51,Bodegas y Viñedos Raúl Pérez Mencía Bierzo Ultreia St.-Jacques-,2015,91,$20 ,
,"Smoke, forest floor and mineral notes mingle in this savory red. Lively acidity and light, firm tannins give grip to the polished texture. Cherry and floral accents sing through the finish. Energetic. Drink now through 2023. 1,200 cases imported. —TM",,,,
52,Domaine de Mourchon Côtes du Rhône-Villages Séguret Tradition-,2014,90,$20 ,
,"A good bolt of graphite drives underneath while lightly mulled plum and blackberry fruit form the core. Singed mesquite and tobacco fill in on the finish. Grenache, Syrah and Carignan. Drink now through 2020. 3,500 cases made. —JM",,,,
53,PlumpJack Syrah Napa Valley-,2014,94,$60 ,
,"Polished and impeccably structured, with blackberry and smoky meat aromas and layered, rich flavors of licorice and espresso that linger toward big but firm tannins. Drink now through 2027. 1,124 cases made. —TF",,,,
54,Innocent Bystander Pinot Noir Yarra Valley-,2016,90,$20 ,
,"Plush and elegant, with raspberry, cherry and fresh sage notes that are harmonious, juicy and intense on the finish. Drink now through 2027. 1,900 cases imported. —MW",,,,
55,Trimbach Pinot Gris Alsace Réserve Personnelle-,2015,92,$38 ,
,"A mouthwatering Pinot Gris, with exotic notes of papaya and grated coconut accenting the peach, anise and almond blossom flavors. Sleek acidity focuses this through to the spicy, mineral-tinged finish. Drink now through 2029. 1,500 cases imported. —AN",,,,
56,Domaines Dominique Piron Morgon La Chanaise-,2015,91,$20 ,
,"This ripe, light- to medium-bodied red sports layers of pure blackberry, cassis and damson plum, edged with licorice, floral and apricot details. Tangy, mouthwatering acidity highlights the mineral and spice details on the long, lightly grippy finish. Drink now through 2020. 13,000 cases made. —GS",,,,
57,Mason Sauvignon Blanc Napa Valley Yount Mill Vineyard-,2016,90,$19 ,
,"Clean, smooth and crisp, offering a lip-smacking mix of pear, melon and Key lime flavors, with plenty of intensity on the finish. Drink now. 4,900 cases made. —MW",,,,
58,Domaine de Beaurenard Châteauneuf-du-Pape-,2015,94,$55 ,
,"A beautiful wine, with dark fig, warm boysenberry reduction and alluring creamed raspberry flavors streaming forth, accented by graphite, black tea and pastis. There's a healthy dose of singed apple wood through the finish, but it's well-embedded as everything pulls together. Best from 2020 through 2040. 5,500 cases made. —JM",,,,
59,Bodegas Emilio Moro Tempranillo Ribera del Duero-,2015,90,$24 ,
,"Black cherry, red plum and currant flavors are fresh and lively in this firm red, backed by dark chocolate, licorice and toasty notes. Light, firm tannins and citrusy acidity keep this focused. Drink now through 2023. 58,333 cases made. —TM",,,,
60,Casa Santos Lima Lisboa Colossal Reserva-,2015,90,$25 ,
,"Plum and boysenberry notes weave together with dried herb and smoky mineral accents in this sleek red. Savory spice details chime in on the finish. Offers moderate, grippy tannins. Drink now through 2020. 55,000 cases made. —GS",,,,
61,Cantina del Pino Barbaresco Ovello-,2013,97,$62 ,
,"This pretty red offers delicate flavors and subtle power, evoking flowers, red berry, mineral, tobacco and tar on the nose and palate. Firmly structured, this remains harmonious and long on the mineral- and tobacco-tinged finish. Best from 2020 through 2036. 500 cases made. —BS",,,,
62,Clos Fourtet St.-Emilion-,2014,95,$74 ,
,"A sleek, lean cat, with distilled currant and raspberry fruit that races from start to finish, maintaining tension throughout thanks to a riveting chalky spine. A light floral hint hangs in the background. Should develop into a perfumy beauty with time. Best from 2022 through 2035. 3,167 cases made. —JM",,,,
63,Purple Hands Pinot Noir Dundee Hills Latchkey Vineyard-,2015,94,$50 ,
,"Silky and harmonious, with an elegantly precise structure and black cherry, fresh violet and spice notes that glide expressively toward the long finish. Drink now through 2022. 600 cases made. —TF",,,,
64,Jean-Luc Colombo Cornas Terres Brûlées-,2015,94,$58 ,
,"Plush in feel, with layers of dark fig, blueberry and blackberry reduction leading the way, inlaid with light charcoal and bay leaf accents that emerge steadily through the finish. Ends with a tug of tar. Best from 2020 through 2035. 1,300 cases made. —JM",,,,
65,Greywacke Pinot Noir Marlborough-,2014,93,$39 ,
,"Detailed, with notes of dried lavender, white pepper, fresh loamy earth and black tea set against a core of strawberry and raspberry flavors. Smooth and plush, this becomes even more expressive on the finish, where spice details fan out. Drink now through 2025. 750 cases imported. —MW",,,,
66,Scacciadiavoli Montefalco Sagrantino-,2011,92,$40 ,
,"This finely balanced Sagrantino layers creamy tannins with a pretty array of raspberry ganache, fig cake and dried sage flavors, accented by aromatic hints of rose petal and spice. Elegant and lightly juicy, with a subtle mineral streak that gains momentum on the finish. Drink now through 2027. 4,000 cases made. —AN",,,,
67,The Calling Chardonnay Russian River Valley Dutton Ranch-,2015,91,$32 ,
,"Ultrarich and extracted, offering a firm core of pear, apple, melon and spice flavors. A truly impressive effort, with depth and dimension. Drink now through 2022. 7,000 cases made. —JL",,,,
68,Gorman Zachary's Ladder Red Mountain-,2014,92,$30 ,
,"Rich yet densely structured, with expressive black cherry and blueberry fruit, accented by smoky licorice and finishing with big but refined tannins. Cabernet Sauvignon, Syrah and Petit Verdot. Best from 2019 through 2025. 600 cases made. —TF",,,,
69,Gini Soave Classico-,2016,90,$21 ,
,"A lithe, light-bodied white, with racy acidity and a subtle streak of mineral, layered with nectarine, melon and pink grapefruit pith flavors. This is well-knit, with a lingering, lightly spiced finish. Drink now through 2020. 9,000 cases made. —AN",,,,
70,Lingua Franca Pinot Noir Eola-Amity Hills Tongue 'N Cheek-,2015,94,$60 ,
,"Lithe and delicately complex, offering rose petal and tart blueberry aromas, with effortlessly balanced raspberry, river rock and spice flavors that finish with refined tannins. Drink now through 2022. 594 cases made. —TF",,,,
71,Donnachiara Aglianico Irpinia-,2015,90,$18 ,
,"This is elegant and well-meshed, with fine tannins and a fragrant skein of ground spice layered with flavors of baked black currant, herbes de Provence, smoke and fig cake. The fresh finish is chewy and lingering. Drink now through 2022. 2,083 cases made. —AN",,,,
72,Domaine Petroni Corse-,2015,90,$20 ,
,"Lightly rustic, with bramble and dried anise notes weaving throughout. The core of violet plum sauce and raspberry coulis is pure and vibrant, extending through a lengthy finish. A fun, character-filled wine. Niellucciu, Syrah and Grenache. Drink now through 2019. 6,500 cases made. —JM",,,,
73,Powell & Son Riverside Barossa-,2015,93,$20 ,
,"A supple, seamless mix of cherry and raspberry flavors, with dried violet, savory and smoky details, accented by hints of sarsaparilla. Polished and refined, especially on the effortless finish. Grenache, Mataro and Shiraz. Drink now through 2030. 2,000 cases made. —MW",,,,
74,Domaine de la Solitude Châteauneuf-du-Pape White-,2016,95,$50 ,
,"This is dreamy, with creamed melon, pear and green fig flavors gliding along, framed by light brioche and meringue notes. The long finish lets the fruit hang beautifully. Offers refined opulence. Drink now through 2022. 800 cases made. —JM",,,,
75,Résonance Pinot Noir Willamette Valley-,2015,93,$45 ,
,"Supple and elegantly structured, with expressive raspberry and orange zest aromas and polished flavors that pick up depth and momentum toward a spicy finish framed by refined tannins. Drink now through 2023. 4,000 cases made. —TF",,,,
76,Louis Chèze Condrieu Pagus Luminis-,2015,96,$69 ,
,"This has power, with a large core of creamed peach, nectarine and yellow apple fruit. Lengthy, pure and vibrant, with a mineral streak running underneath and chamomile and honeysuckle notes gilding the finish. Dreamy wine. Drink now through 2022. 1,200 cases made. —JM",,,,
77,Oberon Merlot Napa Valley-,2015,90,$23 ,
,"A robust style, with inky notes to the dark currant, dried sage and fig flavors that glide across the palate. The sanguine finish is richly spiced. Drink now through 2020. 4,000 cases made. —KM",,,,
78,Prager Riesling Federspiel Trocken Wachau Steinriegl-,2015,92,$35 ,
,"A fruity style, boasting apricot, ripe apple, white pepper, mineral and floral notes, this is harmonious and fresh, leaving a sapid, mineral aftertaste. Drink now. 2,083 cases made. —BS",,,,
79,Alban Syrah Edna Valley Reva Alban Estate-,2013,94,$98 ,
,"Refined yet dynamic, with a structured and balanced core of acidity and tannins framed by formidable black raspberry, smoky meat, licorice and orange zest flavors that build momentum toward polished tannins. Drink now through 2026. 2,000 cases made. —TF",,,,
80,Michele Castellani Valpolicella Classico Superiore San Michele Ripasso-,2015,90,$28 ,
,"This mouthwatering red is medium-bodied and expressive, offering lightly chewy tannins and flavors of sun-dried cherry, strawberry preserves and star anise, with pleasing hints of herb and mineral on the finish. Drink now through 2022. 5,000 cases made. —AN",,,,
81,Dutton-Goldfield Pinot Noir Russian River Valley Dutton Ranch-,2015,92,$44 ,
,"Well-centered on a mix of cherry, plum and raspberry flavors, elegant and refined, with sufficient tannins to hold attention. Ends with a clean, mouthwatering aftertaste that echoes the fruit and spice notes. Drink now through 2024. 5,880 cases made. —JL",,,,
82,Pali Wine Co. Pinot Noir Sonoma Coast Riviera-,2015,90,$22 ,
,"Juicy and generous, featuring a rich, smooth core of plum and raspberry flavors, highlighted by zesty floral scents that accentuate the aroma and fruitiness. Agreeably supple, with easygoing tannins. Drink now through 2022. 3,200 cases made. —JL",,,,
83,Domaine Faiveley Mercurey Clos des Myglands-,2015,93,$53 ,
,"Ripe and pure, featuring cherry, blackberry, raspberry, mineral and light toast notes. Balanced and intense, playing out on the long, mouthwatering finish. Best from 2019 through 2032. 1,400 cases imported. —BS",,,,
84,Simone Santini Vernaccia di San Gimignano Tenuta Le Calcinaie-,2015,90,$18 ,
,"A bright, juicy version, boasting floral, peach, grapefruit and honey aromas and flavors. Pure and elegant, finishing with a characteristic hint of bitterness. Drink now. 2,350 cases made. —BS",,,,
85,Josep Maria Raventós i Blanc Brut Nature Vino Espumoso de la Finca-,2013,90,$33 ,
,"A minerally version, with up-front petrol and spice notes lacing the poached cherry, salted almond and lemon peel flavors that ride the delicate mousse. Elegant and harmonious. Disgorged February 2017. Drink now through 2020. 4,100 cases made. —AN",,,,
86,Lancaster Cabernet Sauvignon Alexander Valley-,2014,94,$75 ,
,"A big, rich Cabernet, with firm, structured tannins that are powerful and edgy, framing the core of blackberry, black cherry, plum and espresso flavors. An impressive effort. Best from 2019 through 2029. 4,075 cases made. —JL",,,,
87,Chartogne-Taillet Brut Champagne Cuvée Ste.-Anne-,NV,92,$50 ,
,"A bright, finely meshed version that shows beautiful harmony throughout, offering flavors of Gala apple, spring forest, almond pastry and lemon curd riding the creamy mousse. Lasting, spiced finish. Disgorged February 2016. Drink now through 2022. 1,300 cases imported. —AN",,,,
88,Fonseca Vintage Port Guimaraens-,2015,93,$58 ,
,"This is warm and lush in feel, and really well-built, with layers of blueberry, açaí berry and plum reduction flavors rolling through, laced with hints of ganache and fruitcake. Lots of graphite-edged grip lines the finish. Best from 2027 through 2040. 4,500 cases made. —JM",,,,
89,Daou Cabernet Sauvignon Adelaida District Estate-,2014,94,$85 ,
,"Combines rich, deep flavors with a measure of finesse and refinement, allowing the earth-laced red berry and spicy herb notes to shine. Ripe, sturdy tannins lend this structure and traction. Best from 2020 through 2034. 1,000 cases made. —JL",,,,
90,Concha y Toro Cabernet Sauvignon Puente Alto Don Melchor-,2014,96,$120 ,
,"A ripe, rich and full-bodied red, with powerful flavors of dark cherry, plum pudding and currant that feature a lush creaminess. Firm and savory midpalate, ending with a long and refined finish that shows mineral and cocoa butter accents, supported by dusty tannins. Drink now through 2024. 7,850 cases made. —KM",,,,
91,Château Léoville Las Cases St.-Julien-,2014,95,$135 ,
,"Densely packed, with cassis, steeped plum and blackberry coulis notes that are compressed with layers of cold charcoal and graphite. Very pure, giving this a long, sleek and racy feel, while an iron underpinning drives the finish. Best from 2020 through 2040. 12,500 cases made. —JM",,,,
92,Garofoli Verdicchio dei Castelli di Jesi Podium-,2014,90,$25 ,
,"An elegant, creamy white, backed by sleek, citrusy acidity, this shows a subtle mix of poached pear, grated ginger and stony mineral flavors, accented by hints of crushed almond. Drink now through 2020. 3,500 cases made. —AN",,,,
93,Revana Cabernet Sauvignon Napa Valley-,2014,96,$165 ,
,"This is a thrilling wine, from the opening vanilla bean scents to the pure, rich and deep core of blackberry, currant and black licorice flavors. Folds in espresso and cedar notes amid the long and persistent finish. Best from 2019 through 2038. 1,500 cases made. —JL",,,,
94,di Meo Greco di Tufo G-,2016,90,$27 ,
,"Tarragon and thyme notes lace flavors of green melon and lime granita in this juicy, light- to medium-bodied white. Fresh, balanced and minerally, with a spiced finish. Drink now through 2020. 5,500 cases made. —AN",,,,
95,Selbach-Oster Riesling Kabinett Halbtrocken Mosel Zeltinger Himmelreich-,2015,93,$20 ,
,"Pungent, with aromas of slate and ripe orchard fruit, this sleek white displays complex flavors of flowers, peach, quince and slate. A hint of chive works into the mix as this remains persistent on the finish. Drink now through 2024. 140 cases imported. —BS",,,,
96,Feudi del Pisciotto Nero d'Avola Terre Siciliane Versace-,2015,91,$33 ,
,"A well-focused, rich red in a balanced, medium-bodied frame, this offers a subtle underpinning of tarry mineral notes layered over light, sculpted tannins and flavors of mulberry and dried fig, with hints of herbes de Provence and mocha. Drink now through 2025. 1,166 cases made. —AN",,,,
97,Odoardi Calabria GB-,2014,92,$45 ,
,"Finely balanced and creamy, this bold red offers a rich range of black cherry coulis, fig cake, dried marjoram and oak spice flavors, layered with sculpted tannins. Long on the palate, with a lasting spicy mineral note. Gaglioppo, Magliocco Canino, Nerello Cappuccio and Greco Nero. Drink now through 2027. 3,500 cases made. —AN",,,,
98,Prats & Symington Douro Chryseia-,2014,94,$75 ,
,"A powerful and concentrated red, featuring kirsch, red plum and baker's chocolate notes, balanced by tarragon, slate and violet details. Elegant, with supple tannins framing the long finish, which is laced with hot stone, olive and licorice accents. Drink now through 2023. 2,000 cases made. —GS",,,,
99,Robert Weil Riesling Qualitätswein Trocken Rheingau Kiedricher Gräfenberg GG-,2015,95,$92 ,
,"Very rich and complex, with enveloping flavors of baked apple, ripe citrus, nectarine and dried pear supported by a powerful structure. Lush midpalate, with a notes of dried guava, followed by unctuous spiciness on the finish, with accents of white chocolate, chamomile and dried herbs. Best from 2018 through 2026. 2,500 cases made. —KM",,,,
