,Wine,Description,Vintage,Price,Score,Model Rating
21,Saxum James Berry Vineyard Paso Robles Willow Creek District-,"Plush, polished and dynamic, with complexly layered blackberry, violet, garrigue, crushed stone and smoky pepper flavors that build richness and spirit toward refined tannins. Grenache, Syrah, Counoise and Mataro. Drink now through 2028. 1,000 cases made. —TF",2016,$98 ,97.0,3
22,Domaine de Chevalier Pessac-Léognan-,"The core of fruit flavor here is sappy and dense, with lots of kirsch, raspberry pâte de fruit and plum reduction notes, yet this stays fresh and racy overall, with a bright iron spine, flashes of tea and tobacco and a long finish that shows a wonderful infusion of alder and tobacco flavors. Offers a lovely combination of prodigious fruit details, with a tug of earth. Best from 2024 through 2038. 12,000 cases made. —JM",2016,$84 ,96.0,3
23,Bodegas Mas Alta Priorat La Vilella Alta Black Slate-,"This generous red features a round, soft texture that carries ripe black fruit flavors, laced with licorice, toast and loamy earth notes. Offers well-integrated tannins and gentle acidity. Pretty floral and cinnamon details emerge on the finish. Drink now through 2028. 1,800 cases imported. —TM",2016,$23 ,93.0,3
24,John Duval Plexus Red Barossa Valley-,"Vibrant, with blackberry, blueberry and spiced plum flavors that are fresh, plump and generous at the core. Impressively elegant and seamless, featuring fresh earth, spice and floral notes that linger effortlessly alongside fine-grained tannins. Shiraz, Grenache and Mourvèdre. Drink now through 2037. 2,000 cases imported. —MW",2017,$40 ,94.0,3
25,Tolaini Cabernet Sauvignon Toscana Legit-,"This is broad and incisive, delivering black currant, plum, leather, earth and wild herb flavors. Dense and beefy, yet with ample fruit for balance, driven by vibrant acidity. This is starting to mellow but still has years of life ahead. Drink now through 2036. 15,000 cases made, 3,000 cases imported. —BS",2013,$45 ,94.0,3
26,Renato Ratti Barolo Marcenasco-,"A deep well of macerated cherry, plum, freshly cut grass, white pepper and tar flavors highlights this dense, muscular red. Quickly goes from enticing to closed down as the beefy tannins ply the finish. All the components are there. Best from 2022 through 2043. 3,500 cases imported. —BS",2015,$65 ,95.0,3
27,Leeuwin Chardonnay Margaret River Art Series-,"Refined and elegant, this white is supple, yet intense and precise, with lemon curd, apricot, honeycomb and mandarin orange flavors, accented by floral and mineral details. The secret weapon here is the sleek acidity, which weaves in and out, giving the flavors definition and verve. Drink now through 2034. 800 cases imported. —MW",2016,$89 ,96.0,3
28,Petra Toscana Zingari-,"A well of dark cherry, black currant and blackberry fruit makes this red sumptuous and inviting. Fresh earth, thyme and rosemary accents add depth. A mineral element emerges on the long finish. Shows fine balance overall. Merlot, Sangiovese, Petit Verdot and Syrah. Drink now through 2032. 7,000 cases made, 1,500 cases imported. —BS",2017,$15 ,93.0,3
29,Domaine de la Charbonnière Châteauneuf-du-Pape-,"Features the dense, dark, ripe profile of the vintage, with a core of steeped currant, fig and boysenberry fruit, supported by a dense structure, notes of dark earth, tobacco and bitter cocoa, and a long finish that ripples with latent energy. Grenache, Syrah and Mourvèdre. Best from 2023 through 2037. 2,400 cases made, 500 cases imported. —JM",2016,$40 ,94.0,3
30,Quivira Sauvignon Blanc Dry Creek Valley Alder Grove Vineyard-,"A complex note of dried honeysuckle and a whiff of smoke add intrigue and depth to the core of succulent peach, melon and mango flavors, set on a medium body, with a fresh frame. Shows wonderful purity of fruit and nuances that linger effortlessly. Drink now. 1,370 cases made. —MW",2017,$24 ,93.0,3
31,Torbreck Shiraz Barossa Valley Woodcutter's-,"Aromatic and stylish, opening with violet, white pepper and subtle sweet cream notes. The core gushes with huckleberry and wild blueberry flavors, revealing shades of rosemary and apricot. Supple and smooth, with tannins hanging in the background, providing appealing traction. The finish sails on and on. Drink now through 2035. 7,000 cases made, 3,500 cases imported. —MW",2017,$25 ,93.0,3
32,Castello di Gabbiano Chianti Classico-,"An elegant style, offering black cherry, blackberry, iron and earth flavors, with a hint of wild herbs. The vibrant structure keeps this focused and drives the lingering finish. Drink now through 2033. 61,000 cases made, 40,000 cases imported. —BS",2015,$14 ,92.0,3
33,Godelia Mencía Bierzo-,"Black cherry, plum and currant flavors give this red a rich core of fruit, while leafy, licorice and mineral notes add complexity. Well-integrated tannins and gentle acidity focus the plush texture. Harmonious, showing good depth. Drink now through 2025. 5,000 cases made, 600 cases imported. —TM",2015,$23 ,93.0,3
34,Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace-,"Seduces you immediately, with expressive violet and dark raspberry aromas that open to polished and brilliantly structured blueberry, savory anise and tea flavors that take on richness on a long finish. Drink now through 2026. 1,850 cases made. —TF",2017,$110 ,96.0,3
35,Nervi Conterno Gattinara-,"Haunting aromas of rose, wild cherry, kirsch, mineral and leather are the hallmarks of this silky, elegant red, which is linear and balanced, extending on the finish with notes of fruit, spice, mineral and tobacco. Very harmonious. Drink now through 2033. 5,000 cases made. —BS",2015,$56 ,94.0,3
36,La Jota Merlot Howell Mountain-,"An elegant style, featuring lilting flavors of red currant and dried raspberry that show hints of cedar and paprika. Fine-edged, with savory richness midpalate. Dried green herbal notes emerge on the minerally finish. Drink now through 2026. 1,657 cases made. —KM",2016,$85 ,95.0,3
37,Bernhard Ott Niederösterreich Am Berg-,"Lovely aromas of lily, rose, vanilla and coconut accent the peach and pineapple flavors in this white. A firm structure and dense texture make this complete. Multidimensional, with enough acidity for balance, and the body helps out. Persistent saline finish. Grüner Veltliner. Drink now through 2027. 1,320 cases imported. —AZ",2017,$21 ,92.0,3
38,Ca' del Baio Barbaresco Autinbej-,"A briny mineral note in the aroma signals this high-tension red. There is ample fruit and flesh on the palate, with cherry, strawberry, stone and white pepper flavors. Tightens up again on the finish. Best from 2021 through 2038. 1,830 cases made, 1,200 cases imported. —BS",2015,$28 ,93.0,3
39,Bodegas Marqués de Murrieta Rioja Finca Ygay Reserva-,"Cedar, tobacco, dried cherry and spice flavors mingle in this red. Features a polished texture, with well-integrated tannins and orange peel acidity. Supple, harmonious and graceful. Tempranillo, Graciano, Mazuelo and Garnacha. Drink now through 2025. 100,000 cases made, 9,067 cases imported. —TM",2015,$29 ,92.0,3
40,Carol Shelton Coquille Blanc Paso Robles-,"Fresh and spicy pear, lime and green apple flavors show details of matcha, peach blossom and honeysuckle in this white, which offers nice complexity and balance, with plenty of fresh acidity. Grenache Blanc, Roussanne, Viognier and Marsanne. Drink now through 2024. 1,203 cases made. —MW",2017,$24 ,93.0,3
41,Giant Steps Pinot Noir Yarra Valley-,"Elegant and distinctive, offering fresh raspberry, sage and white pepper notes that are precise, supple and juicy, with a thread of fresh loam and forest floor, supported by polished tannins. A touch of matcha green tea lingers on the finish. Drink now through 2033. 350 cases imported. —MW",2018,$30 ,94.0,3
42,Roar Pinot Noir Santa Lucia Highlands Sierra Mar Vineyard-,"Rich and plush, revealing a sinewy power to the dried cherry, macerated plum and red currant flavors. Luxuriantly spiced, with a long, creamy finish of cardamom, dried ginger and chocolate hints. Well-crafted and elegantly styled. Drink now through 2025. 686 cases made. —KM",2017,$58 ,94.0,3
43,Bernard Baudry Chinon-,"A gorgeous red, with tobacco, bay leaf and black pepper notes underscoring the dark cherry and cola flavors. Beautifully integrated tannins join the fresh acidity and create a solid structure that gives this harmony and promises a long life ahead. Delicious now, but should be even better in a few years. Best from 2021 through 2030. 600 cases imported. —AZ",2017,$24 ,92.0,3
44,Mark Ryan The Dissident Columbia Valley-,"Expressive and multilayered, with lively rose petal and black cherry aromas and sleekly complex flavors that take on richness toward polished tannins. Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot. Drink now through 2029. 3,900 cases made. —TF",2016,$38 ,93.0,3
45,Loveblock Pinot Noir Central Otago-,"This displays an impressive presence, smooth and succulent, with vibrant cherry, raspberry and apricot notes and touches of white pepper, anise seed and toasted cumin. The texture is smooth, with firm tannins that add an appealing traction on the finish. Drink now through 2033. 4,500 cases made, 3,500 cases imported. —MW",2018,$35 ,93.0,3
46,Brick House Pinot Noir Ribbon Ridge Les Dijonnais-,"Sleek and harmonious, with effortlessly complex violet, raspberry and river stone accents that take on richness toward a lingering finish. Drink now through 2025. 640 cases made. —TF",2016,$52 ,94.0,3
47,G.D. Vajra Barolo Albe-,"Pretty, featuring rose, cherry, raspberry and mint flavors, with a touch of mineral. Supple, harmonious and elegant, offering a long finish. The aftertaste is tinged with orange peel and tobacco notes. Best from 2021 through 2036. 4,500 cases made. —BS",2015,$40 ,93.0,3
48,Wines of Substance Cabernet Sauvignon Washington Cs Substance-,"Precise and vibrantly structured, with black cherry, espresso and spice flavors that take on richness toward polished tannins. Drink now through 2024. 162,605 cases made. —TF",2017,$17 ,91.0,3
49,Marchesi di Barolo Barbera del Monferrato Maraia-,"A sleek, racy style, this red boasts raspberry, boysenberry, graphite and spice flavors. Balanced and focused, with lingering echoes of fruit, mineral and spice. Drink now through 2024. 10,000 cases made, 7,800 cases imported. —BS",2017,$13 ,91.0,3
50,P. Llopart Brut Rosé Cava Reserva-,"The flavors of nectarine and white cherry are fresh and pure in this elegant sparkling rosé, with pretty accents of ground ginger, chalk and pink grapefruit sorbet riding the fine bead and lingering on the zesty finish. Drink now through 2022. 5,000 cases made, 1,000 cases imported. —AN",2016,$22 ,91.0,3
51,Aubert Pinot Noir Sonoma Coast UV-SL Vineyard-,"Rich and expressive, featuring concentrated boysenberry, plum tart and dark cherry flavors that are flush with crunchy acidity. Minerally midpalate, with a long, plush finish that offers flinty and meaty overtones. Drink now through 2024. 791 cases made. —KM",2017,$85 ,95.0,3
52,Quinta do Noval Vintage Port-,"This is well-packed, offering the vivid plum, boysenberry, cassis and açaí berry fruit profile of the vintage, along with a dark edge of tar, baker's chocolate and salted licorice that courses underneath. The long finish lets the fruit play out, keeping singed alder and chai spice hints in the background. Smolderingly seductive. Touriga Nacional, Touriga Franca, Tinta Cão, Sousão and Tinta Roriz. Best from 2035 through 2060. 3,500 cases made. —JM",2017,$125 ,98.0,3
53,Poliziano Vino Nobile di Montepulciano-,"Bright black cherry, plum, earth, vanilla and toasty oak flavors are the hallmarks of this well-crafted red. Balanced, this needs a year or two to integrate more fully and extend the finish. Firm grip. Sangiovese, Colorino, Canaiolo and Merlot. Best from 2021 through 2033. 16,000 cases made, 2,600 cases imported. —BS",2016,$30 ,92.0,3
54,Failla Pinot Noir Russian River Valley Keefer Ranch-,"Plush, featuring creamy notes that accent the concentrated cherry tart, dark plum and currant flavors, taking on a pastrylike richness. Sandalwood and spice details linger on the finish, with chocolate hints. Drink now through 2023. 1,179 cases made. —KM",2017,$52 ,93.0,3
55,Quinta do Vale Meão Douro-,"Well-crafted, balancing power and finesse, this red layers raspberry gelée, cherry tart and olive tapenade flavors with cured meat, black tea and wild rosemary accents. Sinewy tannins mark the rich finish, infused with licorice, mocha and baking spice aromas. Touriga Nacional, Touriga Franca, Tinta Barroca and Tinta Roriz. Best from 2021 through 2030. 2,400 cases made, 240 cases imported. —GS",2016,$99 ,96.0,3
56,Alain Voge Cornas Les Vieilles Vignes-,"This offers a mix of red and black cherry paste flavors, infused with a range of bay leaf, savory, tobacco, olive and chalk notes. Shows a grippy feel through the finish, with the chalky minerality driving through. Best from 2022 through 2038. 1,230 cases made, 220 cases imported. —JM",2016,$85 ,95.0,3
57,A to Z Wineworks Chardonnay Oregon-,"Vibrant, with plush fruit, offering medium-weight lemon and quince flavors that take on expression and polish on the finish. Drink now through 2020. 38,270 cases made. —TF",2018,$15 ,90.0,3
58,Viña Montes Alpha M Colchagua Valley-,"Rich, robust and lusciously spiced, with concentrated dark cherry, plum and boysenberry flavors supported by fresh acidity. Intense midpalate minerality is followed by a finish loaded with chocolate and cream notes. Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Drink now through 2024. 4,500 cases made, 500 cases imported. —KM",2015,$100 ,95.0,3
59,Mt. Beautiful Sauvignon Blanc North Canterbury-,"Offers an appealing core of intense, lush flavors of ripe melon and peach, with details of white pepper, honeysuckle and ruby grapefruit lingering on the finish. Impressive for the intensity and focus. Drink now. 14,800 cases made, 10,000 cases imported. —MW",2018,$17 ,90.0,3
60,Cambria Chardonnay Santa Maria Valley Katherine's Vineyard-,"Well-structured, with a smoky richness to the mineral-infused apple and pear tart flavors. The fresh, spicy finish lingers with a creamy texture. Drink now through 2022. 40,000 cases made. —KM",2017,$22 ,91.0,3
61,Viña Haras de Pirque Cabernet Sauvignon Maipo Valley Hussonet Gran Reserva-,"Big and fresh-tasting, with concentrated dark plum, dark currant and black olive flavors. Asian spice and dark chocolate notes on the muscular finish. Drink now through 2024. 2,500 cases imported. —KM",2015,$15 ,90.0,3
62,Michel Gassier Costières de Nîmes White Nostre Païs-,"Fresh, featuring pear, yellow apple, melon and jasmine notes streaming through together, with a flash of lemon shortbread on the enticing finish. Grenache Blanc, Roussanne, Clairette, Viognier and Bourboulenc. Drink now. 3,000 cases made, 1,200 cases imported. —JM",2017,$22 ,91.0,3
63,Dry Creek Zinfandel Sonoma County Heritage Vines-,"Briary and vibrant, with zesty raspberry, toasted sage and cracked pepper flavors that take on richness toward polished tannins. Drink now through 2025. 15,000 cases made. —TF",2017,$26 ,91.0,3
64,Tania & Vincent Carême Terre Brûlée Le Blanc Swartland-,"Elegant, showing a gentle texture, with intense acidity giving energy to the flavors of yellow apple, lime and honeysuckle. Salty mineral elements emerge midpalate, leaving a savory aftertaste. Best from 2021 through 2028. 2,200 cases imported. —AZ",2018,$16 ,90.0,3
65,RouteStock Pinot Noir Sonoma Coast 116-,"This offers creamy raspberry, currant and wild plum flavors, supported by medium-grained tannins. The spicy finish lingers with chocolate notes and hints of mint. Drink now through 2023. 5,024 cases made. —KM",2017,$23 ,91.0,3
66,Marquis d'Angerville Volnay Champans-,"Pure and intense, featuring cherry, black currant and violet aromas and flavors, this red is seductive and approachable despite its youth. The solid structure is seamlessly integrated and bodes well for future development. Shows terrific harmony and expression. Best from 2023 through 2042. 145 cases imported. —BS",2016,$150 ,95.0,3
67,Mirabella Brut Rosé Franciacorta-,"An expressive rosé, with mouthwatering acidity and a satiny mousse, this offers flavors of ripe nectarine, candied ginger, pomegranate and star anise, underscored by chalky mineral notes. Drink now through 2024. 6,000 cases made, 600 cases imported. —AN",NV,$29 ,92.0,3
68,Farella Cabernet Sauvignon Coombsville-,"Dark and winey, with steeped black currant, fig and blackberry fruit flavors, inlaid liberally with smoldering charcoal and sweet tobacco notes. Anise and tar details score the finish, adding length and range to the depth and energy. Best from 2021 through 2035. Tasted twice, with consistent notes. 257 cases made. —JM",2015,$65 ,94.0,3
69,Forstreiter Grüner Veltliner Kremstal Kremser Kogl-,"Mineral-driven and well-built, this is bursting with notes of iodine, lentil and white pepper, while nectarine and pear flavors take a back seat. Very energetic, with enough structure to stand up to a serious meal. Drink now through 2026. 2,000 cases made, 1,200 cases imported. —AZ",2018,$17 ,90.0,3
70,Pierre Luneau-Papin Muscadet de Sèvre et Maine Sur Lie Clos des Allées-,"Very pure, showing a bit of richness, with a silky texture and notes of lemon verbena, lime zest, chamomile and fleur de sel that persist on the long, savory and dry finish. Drink now through 2026. 600 cases imported. —AZ",2018,$21 ,91.0,3
71,Marotti Campi Verdicchio dei Castelli di Jesi Classico Superiore Luzano-,"Light herb and citrus zest notes accent the apricot, wet stone, almond blossom and pear flavors in sleek and silky, light- to medium-bodied white. Fresh and lingering, with a minerally finish. Drink now through 2024. 1,500 cases imported. —AN",2017,$17 ,90.0,3
72,Cristom Pinot Noir Willamette Valley Mt. Jefferson Cuvée-,"Expressive strawberry blossom and raspberry aromas open to elegantly structured cherry and spicy cinnamon flavors that build richness toward refined tannins. Drink now through 2025. 9,835 cases made. —TF",2017,$35 ,92.0,3
73,Corazon del Sol Malbec Los Chacayes Gran Reserva Revana Vineyard-,"Elegant and powerful, featuring concentrated kirsch, blueberry and dark cherry flavors that are supported by fresh acidity and zesty tannins. Shows intense minerality midpalate, with a long and generously spiced finish, filled with accents of flint and clove. Complex. Drink now through 2025. 200 cases made, 150 cases imported. —KM",2016,$75 ,94.0,3
74,Jean Perrier & Fils Savoie Apremont Cuvée Gastronomie-,"Features an alluring brioche hint around a core of lemon curd, white peach and yellow apple flavors, with light fennel and salted butter hints weaving through the finish. Drink now through 2020. 11,000 cases made, 1,000 cases imported. —JM",2018,$17 ,90.0,3
75,Penner-Ash Pinot Noir Yamhill-Carlton District Shea Vineyard-,"Elegant yet dynamic, with violet, raspberry and spiced cinnamon flavors that build richness and structure toward refined tannins. Drink now through 2026. 1,100 cases made. —TF",2016,$72 ,94.0,3
76,Vincenzo Ippolito Cirò White Mare Chiaro-,"An aromatic, light-bodied white, with lip-smacking acidity and a subtly chalky texture, this offers flavors of melon, jasmine and pink grapefruit pith. Minerally finish. Drink now through 2022. 9,000 cases made, 2,000 cases imported. —AN",2018,$19 ,90.0,3
77,Gérard Bertrand Languedoc Art de Vivre-,"Polished, supple tannins support the black cherry, red plum and wild raspberry notes of this juicy red, with savory touches of mineral and herb on the clean finish. Grenache, Syrah and Mourvèdre. Drink now through 2022. 35,000 cases made, 10,000 cases imported. —GS",2015,$20 ,90.0,3
78,Macdonald Cabernet Sauvignon Oakville-,"Very concentrated, this moves slowly but with authority, as the core of cassis and mulled plum fruit is laced with plum pit, stony mineral, light savory, alder and incense notes. Youthfully tight, but with a long echo of sweet fruit that plays out while serious cut and loamy grip hold a rock-steady rhythm. Should cruise in the cellar. Best from 2021 through 2042. 369 cases made. —JM",2016,$175 ,96.0,3
79,Casa Vinicola Triacca Valtellina Superiore Sassella-,"An elegant red, with sleek tannins trimming a fresh range of macerated raspberry, sandalwood, lavender and iron flavors. Well-knit, featuring a creamy, lingering finish that echoes mineral and citrus peel notes. Drink now through 2029. 2,000 cases made, 300 cases imported. —AN",2016,$18 ,91.0,3
80,Veuve Ambal Brut Crémant de Bourgogne Grande Cuvée-,"A toasty version, laced with vanilla, pastry cream and spice notes, this is enlivened by racy acidity that creates a mouthwatering frame for the poached quince, apricot and candied ginger flavors. Drink now through 2022. 100,000 cases made, 5,000 cases imported. —AN",NV,$20 ,90.0,3
81,Friedrich Becker Pinot Blanc Pfalz Becker Family-,"A harmonious white, lush and creamy in texture, with acidity imparting freshness and focus. Offers a pleasing mix of Bosc pear, pickled ginger, apple blossom and stony mineral notes. Spicy finish. Drink now through 2025. 600 cases imported. —AZ",2017,$18 ,90.0,3
82,Planeta Cerasuolo di Vittoria-,"This medium-bodied red is balanced and fresh, with light, taut tannins and a well-knit mix of wild strawberry and raspberry, dried thyme, singed orange peel and spicy mineral flavors. Drink now through 2023. 8,000 cases made, 4,000 cases imported. —AN",2017,$24 ,90.0,3
83,Domaine Faiveley Nuits-St.-Georges-,"A touch of gaminess in the aroma gives way to blackberry, black cherry, earth and iron flavors in this rich, solidly structured red. Vibrant and balanced, though this needs a little time to integrate. Terrific length. Best from 2023 through 2042. 1,083 cases made, 150 cases imported. —BS",2016,$68 ,94.0,3
84,San Martino Aglianico del Vulture Arberesko-,"A fresh and elegant red, medium- to full-bodied, featuring supple tannins finely meshed with flavors of crushed black cherry fruit and a core of smoke-tinged mineral, with delicate tea leaf and star anise accents. Long and racy on the finish. Drink now through 2029. 1,000 cases made, 200 cases imported. —AN",2015,$24 ,92.0,3
85,Bieler Père & Fils Bandol Rosé Réserve-,"Supple white raspberry and tangerine notes are supported by steely acidity, with heather, wild herb and mineral notes carrying through the spicy, savory-driven finish. Drink now. 1,200 cases made, 1,200 cases imported. —GS",2018,$22 ,90.0,3
86,Cantina Terlano Pinot Grigio Alto Adige Tradition-,"A creamy, light-bodied white, with mouthwatering acidity driving a finely knit range of Honeycrisp apple, Marcona almond and orchard blossom flavors, showing a rich and tangy streak of salinity that lingers on the finish. Drink now through 2023. 9,167 cases made, 8,000 cases imported. —AN",2018,$25 ,90.0,3
87,Bodega Burdigala Rueda Campo Elíseo Cuvée Alegre-,"This rich white shows lively flavors of pineapple and quince, backed by tangerine acidity and deepened by notes of vanilla and spice. A fruit-centered style that remains bright and balanced. Drink now. 3,750 cases produced, 200 cases imported. —TM",2018,$15 ,90.0,3
88,Rotem & Mounir Saouma Châteauneuf-du-Pape Omnia-,"Sublime, with a beguiling mouthfeel to the layers of cherry puree, steeped plum and warmed raspberry coulis fruit flavors, melded with rooibos tea, bergamot, incense and jasmine notes. The long finish features subtle minerality and remarkable persistence, seeming to move with grace. Grenache, Syrah and Mourvèdre. Best from 2021 through 2045. 125 cases imported. —JM",2016,$107 ,97.0,3
89,Hans Wirsching Riesling Franken Iphöfer Kronsberg Alte Reben-,"Clean and airy, with good cut to the apple, green peach and gooseberry flavors, featuring notes of dried mint. The spicy finish lingers, revealing accents of savory mineral and white pepper. Best from 2020 through 2027. 1,000 cases made, 650 cases imported. —AZ",2017,$19 ,90.0,3
90,Snowden Cabernet Sauvignon Napa Valley Brothers Vineyard-,"Offers a tasty core of plum and blackberry fruit, backed by lively anise and apple wood notes. Restrained overall, with an alluring freshness and a subtle charcoal hint lingering deftly at the end. Drink now through 2032. 639 cases made. —JM",2016,$90 ,94.0,3
91,Rafael Palacios Godello Valdeorras Louro-,"Peach, quince and lime flavors mingle with notes of lemon cream, heather and grapefruit in this expressive white. The texture is broad, but crisp acidity keeps this focused. Drink now. 1,098 cases imported. —TM",2017,$24 ,90.0,3
